symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,targetShares,od_key
AGNC,3200,($9.17),($9.55),"($29,344.74)",5400,($9.76),-2200,($10.06),"$1,212.00 ",0,2500,"($23,875.00)"
AOD,2500,($8.09),($8.42),"($20,221.25)",2500,($8.42),0,$0.00 ,$833.75 ,0,2000,"($16,840.00)"
ASGI,750,($16.94),($17.68),"($12,701.49)",750,($17.68),0,$0.00 ,$559.92 ,0,500,"($8,840.00)"
AY,200,($16.78),($17.33),"($3,355.03)",300,($19.86),-100,($24.92),$111.25 ,0,200,"($3,466.00)"
BBDC,250,($8.55),($9.07),"($2,137.52)",500,($8.89),-250,($8.71),$130.00 ,0,500,"($4,535.00)"
BBN,600,($15.75),($16.21),"($9,448.10)",600,($16.21),0,$0.00 ,$279.71 ,0,500,"($8,105.00)"
BDJ,250,($7.61),($7.72),"($1,902.20)",250,($7.72),0,$0.00 ,$27.80 ,0,500,"($3,860.00)"
BRKB,25,($272.38),($272.38),"($6,809.57)",441.2,($329.82),-416.2,($333.27),$0.00 ,0,100,"($27,238.00)"
BRSP,4300,($6.11),($6.58),"($26,270.23)",4300,($6.58),0,$0.00 ,"$2,010.00 ",0,4000,"($26,320.00)"
BRW,400,($7.52),($7.89),"($3,008.78)",750,($7.75),-350,($7.59),$148.75 ,0,1000,"($7,890.00)"
BUI,1260,($21.34),($21.89),"($26,888.16)",1260,($21.89),0,$0.00 ,$689.47 ,0,1000,"($21,890.00)"
C,200,($45.46),($46.51),"($9,092.73)",233,($46.02),-33,($43.00),$210.00 ,0,200,"($9,302.00)"
CALM,700,($50.45),($52.64),"($35,316.12)",1150,($49.51),-450,($44.64),"$1,529.15 ",0,200,"($10,528.00)"
CGBD,3500,($14.05),($14.59),"($49,186.56)",4000,($14.71),-500,($15.53),"$1,870.00 ",0,2500,"($36,475.00)"
CPA,525,($113.72),($115.36),"($59,705.04)",658,($110.27),-133,($90.15),$861.00 ,0,100,"($11,536.00)"
CUBE,200,($47.34),($48.95),"($9,467.73)",250,($47.44),-50,($41.39),$322.50 ,0,200,"($9,790.00)"
DINO,200,($52.63),($53.08),"($10,525.30)",207.5,($53.05),-7.5,($52.15),$91.35 ,0,300,"($15,924.00)"
DSU,2500,($9.65),($10.02),"($24,129.78)",2500,($10.02),0,$0.00 ,$929.72 ,0,2000,"($20,040.00)"
DSX,2026,($3.62),($3.92),"($7,334.91)",2000,($4.06),-63,($3.00),$600.91 ,89,500,"($1,960.00)"
ECC,325,($9.40),($9.85),"($3,056.01)",700,($10.60),-375,($11.25),$144.00 ,0,500,"($4,925.00)"
EFC,2000,($13.09),($13.97),"($26,180.05)",2500,($13.68),-500,($12.50),"$1,762.50 ",0,1000,"($13,970.00)"
EPR,650,($37.69),($39.99),"($24,497.19)",1000,($41.51),-350,($44.32),"$1,498.75 ",0,1000,"($39,990.00)"
EPRT,1600,($23.19),($23.89),"($37,109.52)",1600,($23.89),0,$0.00 ,"$1,114.00 ",0,1400,"($33,446.00)"
EXG,1000,($7.59),($7.93),"($7,591.67)",1000,($7.93),0,$0.00 ,$337.33 ,0,1000,"($7,930.00)"
FDUS,600,($18.04),($19.56),"($10,824.55)",600,($19.56),0,$0.00 ,$912.00 ,0,500,"($9,780.00)"
GBDC,400,($13.98),($14.60),"($5,590.00)",400,($14.60),0,$0.00 ,$250.00 ,0,500,"($7,300.00)"
GLAD,13000,($10.23),($10.68),"($133,006.29)",13300,($10.69),-300,($11.04),"$5,838.26 ",0,10000,"($106,800.00)"
GOOD,200,($13.13),($13.63),"($2,625.02)",300,($13.50),-100,($13.25),$100.00 ,0,200,"($2,726.00)"
HQH,700,($16.39),($17.25),"($11,473.62)",700,($17.25),0,$0.00 ,$601.70 ,0,500,"($8,625.00)"
HR,200,($16.82),($17.13),"($3,363.00)",200,($17.13),0,$0.00 ,$62.00 ,0,500,"($8,565.00)"
HTD,750,($19.41),($20.05),"($14,557.08)",750,($20.05),0,$0.00 ,$483.00 ,0,500,"($10,025.00)"
JEPQ,700,($44.17),($46.73),"($30,922.15)",1550,($47.82),-850,($48.72),"$1,788.16 ",0,1000,"($46,730.00)"
KRC,200,($34.53),($35.61),"($6,905.00)",200,($35.61),0,$0.00 ,$216.00 ,0,300,"($10,683.00)"
LADR,1500,($8.67),($9.32),"($12,999.37)",2000,($9.85),-500,($11.46),$977.50 ,0,2000,"($18,640.00)"
MAIN,1300,($38.84),($40.68),"($50,495.38)",1300,($40.68),0,$0.00 ,"$2,393.90 ",0,1000,"($40,680.00)"
MEGI,1000,($12.01),($13.41),"($12,007.24)",6000,($14.15),-5000,($14.30),"$1,398.05 ",0,1000,"($13,410.00)"
MFC,800,($17.97),($18.67),"($14,376.02)",994,($18.83),-194,($19.50),$557.26 ,0,500,"($9,335.00)"
MO,300,($38.70),($42.06),"($11,610.07)",1800,($44.42),-1500,($44.89),"$1,009.00 ",0,200,"($8,412.00)"
MOAT,200,($75.86),($76.59),"($15,172.43)",400,($75.63),-200,($74.66),$145.70 ,0,200,"($15,318.00)"
MRCC,1000,($7.76),($8.26),"($7,760.61)",1000,($8.26),0,$0.00 ,$500.00 ,0,1000,"($8,260.00)"
NEP,100,($28.21),($28.86),"($2,820.53)",250,($48.89),-150,($62.25),$65.06 ,0,200,"($5,772.00)"
NNN,500,($39.77),($40.82),"($19,887.34)",550,($41.04),-50,($43.25),$522.60 ,0,500,"($20,410.00)"
O,3900,($56.25),($57.69),"($219,371.91)",4835,($58.39),-935,($61.32),"$5,624.72 ",0,2000,"($115,380.00)"
OBDC,2500,($12.59),($13.48),"($31,473.56)",3000,($13.61),-500,($14.25),"$2,233.00 ",0,2000,"($26,960.00)"
OXLC,6000,($4.80),($5.14),"($28,778.48)",9333,($5.25),-3333,($5.45),"$2,066.64 ",0,5000,"($25,700.00)"
PDI,1000,($17.53),($17.74),"($17,533.52)",1000,($17.74),0,$0.00 ,$209.48 ,0,1000,"($17,740.00)"
PDO,1500,($12.29),($12.84),"($18,430.83)",1500,($12.84),0,$0.00 ,$831.37 ,0,1000,"($12,840.00)"
PFE,100,($28.49),($28.90),"($2,849.04)",200,($33.95),-100,($39.00),$41.00 ,0,500,"($14,450.00)"
PFLT,3000,($9.92),($10.54),"($29,764.96)",3750,($10.73),-750,($11.52),"$1,842.51 ",0,3000,"($31,620.00)"
PLAB,200,($23.99),($23.99),"($4,797.83)",200,($23.99),0,$0.00 ,$0.00 ,0,300,"($7,197.00)"
PNNT,5000,($5.93),($6.35),"($29,645.03)",5500,($6.36),-500,($6.45),"$2,100.00 ",0,5000,"($31,750.00)"
QQH,100,($47.84),($48.04),"($4,783.92)",250,($48.48),-150,($48.77),$20.54 ,0,0,$0.00 
QYLD,200,($17.23),($17.23),"($3,445.52)",300,($17.25),-100,($17.30),$0.00 ,0,500,"($8,615.00)"
RNP,600,($18.30),($19.16),"($10,980.70)",600,($19.16),0,$0.00 ,$516.80 ,0,1000,"($19,160.00)"
RTX,100,($69.32),($69.91),"($6,931.73)",200,($72.95),-100,($76.00),$59.00 ,0,200,"($13,982.00)"
SCHD,100,($39.63),($47.16),"($3,962.73)",1433,($72.49),-1333,($74.39),$753.11 ,0,500,"($23,580.00)"
SCM,1800,($13.50),($14.34),"($24,301.29)",1879,($14.37),-79,($15.03),"$1,519.62 ",0,1500,"($21,510.00)"
SPE,750,($10.33),($11.23),"($7,746.64)",1350,($11.26),-600,($11.30),$677.13 ,0,1000,"($11,230.00)"
SPYI,250,($46.47),($51.84),"($11,616.77)",750,($49.16),-500,($47.81),"$1,343.40 ",0,200,"($10,368.00)"
SVOL,200,($20.16),($22.01),"($4,031.54)",500,($22.36),-300,($22.59),$369.56 ,0,200,"($4,402.00)"
T,100,($9.92),($9.92),($991.67),1300,($15.00),-1200,($15.42),$0.00 ,0,200,"($1,984.00)"
TCPC,900,($11.46),($12.22),"($10,317.81)",900,($12.22),0,$0.00 ,$677.00 ,0,1000,"($12,220.00)"
THQ,500,($18.26),($18.94),"($9,129.99)",500,($18.94),0,$0.00 ,$337.51 ,0,500,"($9,470.00)"
USA,1500,($6.45),($6.71),"($9,674.43)",2000,($6.55),-500,($6.09),$385.00 ,0,1000,"($6,710.00)"
UTF,600,($21.24),($21.32),"($12,743.50)",600,($21.32),0,$0.00 ,$46.50 ,0,1000,"($21,320.00)"
VICI,700,($29.49),($30.37),"($20,645.56)",1200,($31.17),-500,($32.29),$615.00 ,0,500,"($15,185.00)"
WHF,1300,($12.35),($13.14),"($16,060.76)",1350,($13.11),-50,($12.30),"$1,019.25 ",0,1000,"($13,140.00)"
WPC,2500,($64.82),($66.95),"($162,061.93)",2734,($67.29),-234,($70.89),"$5,322.63 ",0,1000,"($66,950.00)"
XLE,200,($85.86),($86.79),"($17,172.52)",500,($85.00),-300,($83.81),$186.09 ,0,200,"($17,358.00)"
