symbol,key,held,cost,numBought,numSold,numExpired,numAssigned
MAIN,6803599JF,-5,196.65,0,-5,0,0
ABR,ABR240119P12.5,0,437.54,5,-5,0,0
ABR,ABR240216P13,-5,255.65,0,-5,0,0
ABR,ABR240913C13.5,-10,308.24,0,-10,0,0
ADM,ADM240628C60,0,40.6,2,-2,0,0
ADM,ADM240719C61,0,212.65,0,-2,0,2
AGNC,AGNC231103P6.5,0,4.73,0,-1,1,0
AGNC,AGNC240126P10,-3,345.99,0,-3,0,0
AGNC,AGNC240209P9.5,-5,96.64,0,-5,0,0
AGNC,AGNC240216P9,-5,101.65,0,-5,0,0
AGNC,AGNC240315C10,-21,239.95,0,-21,0,0
AGNC,AGNC240524C9,0,373.23,0,-10,0,10
AGNC,AGNC250117C10,-30,1379.64,0,-30,0,0
ANVS,ANVS240419C12.5,0,832.96,10,-10,0,0
ANVS,ANVS240517C12.5,0,-6663.56,10,-10,0,0
ANVS,ANVS240621C17.5,0,8862.88,10,-10,0,0
ANVS,ANVS240719C7.5,0,316.44,10,-10,0,0
ANVS,ANVS241018C7.5,0,-4623.59,10,-10,0,0
ARDX,ARDX240301C9,0,-43.55,10,-10,0,0
ARDX,ARDX240308C9.5,0,-54.09,20,-20,0,0
AY,AY231117C20,0,28.66,0,-2,2,0
AY,AY231215P17.5,0,-11.07,3,-3,0,0
AY,AY231215P20,0,98.66,0,-2,2,0
AY,AY240517P20,-3,561.98,0,-3,0,0
BAC,BAC240719C40,6,0.0,0,0,0,6
BRKB,BRKB240216P370,0,-33.36,1,-1,0,0
BRSP,BRSP240517C7.5,-43,1751.18,0,-43,0,0
C,C240802P65,0,222.97,0,-3,0,3
C,C240920C52.5,-2,350.66,0,-2,0,0
C,C240920C65,7,-231.19,7,0,0,0
C,C250117C65,-10,2223.16,0,-10,0,0
CALM,CALM240119C55,-2,158.66,0,-2,0,0
CALM,CALM240517C60,-5,496.64,0,-5,0,0
CLS,CLS240315C37.5,0,-1314.71,2,-2,0,0
CLS,CLS240315C42.5,0,-44.7,2,-2,0,0
CLS,CLS240419C45,0,557.3,2,-2,0,0
CLS,CLS240517C45,0,740.64,0,-2,0,2
CLSK,CLSK240524C17.5,0,651.6,0,-5,0,5
CMCSA,CMCSA231215P42,0,50.66,0,-2,2,0
CMCSA,CMCSA240126P42,-2,124.66,0,-2,0,0
CMCSA,CMCSA240126P43,-1,99.33,0,-1,0,0
CMCSA,CMCSA240126P44,0,13.67,1,-1,0,0
CMCSA,CMCSA240216P42.5,-1,89.33,0,-1,0,0
COP,COP240322C121,0,238.65,0,-2,0,2
CPA,CPA240517C120,-5,421.65,0,-5,0,0
CPA,CPA240816C120,5,0.0,0,0,5,0
CPA,CPA241115C80,-5,5621.46,0,-5,0,0
CPA,CPA241115P100,-5,6371.44,0,-5,0,0
CRWD,CRWD240726P245,0,287.63,1,-1,0,0
CUBE,CUBE240216C45,0,-468.68,2,-2,0,0
CUBE,CUBE240816C50,-2,464.66,0,-2,0,0
CVNA,CVNA240216C45,0,-1138.71,2,-2,0,0
CVNA,CVNA240223C47.5,0,1942.63,0,-2,0,2
CVX,CVX240405C157.5,0,240.65,0,-2,0,2
CVX,CVX240802C152.5,0,1504.6,0,-2,2,0
CVX,CVX240802P162.5,0,692.65,0,-2,0,2
CVX,CVX240920C170,2,-201.35,2,0,0,0
CVX,CVX250117C160,-4,1397.25,0,-4,0,0
DAL,DAL240328C45.5,0,211.62,0,-5,0,5
DINO,DINO240315C60,0,386.65,1,-1,0,0
DINO,DINO240315C65,-1,-275.01,1,-2,0,0
DINO,DINO240719C55,4,0.0,0,0,4,0
DINO,DINO240920C45,-4,2477.21,0,-4,0,0
DINO,DINO240920P55,-4,2117.23,0,-4,0,0
DOW,DOW240223C52,0,-82.7,2,-2,0,0
DOW,DOW240301C54,0,-296.7,2,-2,0,0
DOW,DOW240308C56,0,124.65,0,-2,0,2
DSX,DSX241220C2,-30,1569.64,0,-30,0,0
DSX,DSX241220P3,-30,1869.63,0,-30,0,0
ENB,ENB240517C35,0,325.62,0,-5,0,5
EPD,EPD231124P26.5,0,27.33,0,-1,1,0
EPR,EPR231117P45,0,69.33,0,-1,1,0
EPR,EPR231215P45,0,129.33,0,-1,1,0
EPR,EPR240119C45,-6,265.98,0,-6,0,0
EPR,EPR240119P45,0,174.31,1,-1,0,0
EPRT,EPRT240119P25,-5,446.65,0,-5,0,0
EXPE,EXPE240209C150,0,921.28,1,-1,0,0
F,F240216C13,0,26.96,10,-10,0,0
FDUS,FDUS240119P19.63,-1,24.33,0,-1,0,0
FEPI,FEPI241018C56,0,5.94,3,-3,0,0
GCT,GCT240816C30,10,993.45,5,-5,10,0
GCT,GCT240816P30,5,0.0,0,0,0,5
GCT,GCT250117C30,-5,844.61,0,-5,0,0
OOPS,GE1240405C175,2,0.0,0,0,0,2
GE,GE240328C175,0,41.29,2,-2,0,0
GE,GE240405C175,-2,812.65,0,-2,0,0
GLAD,GLAD231215P10,0,50.21,0,-7,7,0
GLD,GLD240628C175,0,12.62,1,-1,0,0
GM,GM240322C40,0,404.62,0,-5,0,5
GOOD,GOOD240621C12.5,-2,248.66,0,-2,0,0
HR,HR240517C17.5,-2,78.66,0,-2,0,0
IBKR,IBKR240719C125,0,381.27,1,-1,0,0
IBKR,IBKR240920C125,-1,302.32,0,-1,0,0
IBM,IBM240802C190,0,258.32,0,-1,1,0
IBM,IBM240906C190,-1,314.32,0,-1,0,0
ICHR,ICHR240621C40,0,282.64,0,-2,2,0
ICHR,ICHR240719C37.5,0,200.65,0,-2,2,0
ICHR,ICHR240816C40,0,178.65,0,-2,2,0
IEP,IEP250117C22.5,-3,147.97,0,-3,0,0
IMNM,IMNM240419C20,0,3292.92,10,-10,0,0
IMNM,IMNM240517C20,0,812.95,10,-10,0,0
IMNM,IMNM240621C17.5,0,1253.21,0,-10,10,0
IMNM,IMNM240719C15,0,-37.04,10,-10,0,0
IMNM,IMNM250117C17.5,-10,1523.18,0,-10,0,0
IMVT,IMVT240328C30,0,611.61,0,-5,0,5
ITA,ITA231020C112,0,24.33,0,-1,1,0
ITA,ITA231117C111,0,94.33,0,-1,0,1
JEPI,JEPI231215C53,0,955.97,0,-6,0,6
JEPQ,JEPQ240119P49,0,64.31,1,-1,0,0
JEPQ,JEPQ240517C50,0,-21.34,1,-1,0,0
KMI,KMI231229P17.5,0,11.31,1,-1,0,0
KRC,KRC240119C40,-2,148.66,0,-2,0,0
KRC,KRC240816C35,4,-56.11,4,0,0,0
KRC,KRC240920C35,-4,253.29,0,-4,0,0
LADR,LADR240517C12.5,-15,289.95,0,-15,0,0
LFMD,LFMD240419C10,0,562.96,10,-10,0,0
LFMD,LFMD240517C10,0,903.23,0,-10,10,0
LFMD,LFMD240621C9,0,142.96,10,-10,0,0
LFMD,LFMD240719C9,0,242.96,10,-10,0,0
LFMD,LFMD241115C9,-10,693.21,0,-10,0,0
MAIN,MAIN240621C44.73,0,0.0,0,0,0,0
MARA,MARA240607C21,0,216.62,0,-5,5,0
MARA,MARA240816C21,0,1326.45,5,-5,0,0
MARA,MARA240913C21,-5,416.6,0,-5,0,0
MFC,MFC240315C23,-8,114.65,0,-8,0,0
MO,MO231208P40,0,43.31,1,-1,0,0
MO,MO231215C45,0,14.19,0,-3,3,0
MO,MO240621C46.5,0,191.49,5,-5,0,0
MO,MO240719C45,0,376.6,0,-5,0,5
MOAT,MOAT240315C80,-2,98.66,0,-2,0,0
MOD,MOD240419C90,0,1776.58,2,-2,0,0
MOD,MOD240517C90,0,778.65,0,-2,0,2
MTDR,MTDR240719C62.5,4,0.0,0,0,0,4
NEE,NEE240405C63,0,24.6,2,-2,0,0
NEE,NEE240412C63,0,158.65,0,-2,0,2
NEE,NEE240419C65,0,4.6,2,-2,0,0
NEE,NEE240426C65,0,-57.71,2,-2,0,0
NEE,NEE240531C66,0,401.64,0,-2,0,2
NEP,NEP240119C30,0,-155.34,1,-1,0,0
NEP,NEP240719C35,-1,215.33,0,-1,0,0
NNN,NNN240621C45,-5,221.65,0,-5,0,0
NOC,NOC240126C495,0,108.64,1,-1,0,0
NOC,NOC240202C485,0,339.32,0,-1,1,0
NOC,NOC240322C475,0,68.64,1,-1,0,0
NOC,NOC240719C460,0,109.32,0,-1,1,0
NOC,NOC240816C510,0,662.56,2,-2,0,0
NOC,NOC250117C450,0,-3989.19,3,-3,0,0
NOC,NOC250117C500,-1,1754.91,1,-2,0,0
NOC,NOC250117C520,-1,1329.28,0,-1,0,0
NOC,NOC250117C550,-1,866.93,1,-2,0,0
NOC,NOC260116C500,0,801.81,3,-3,0,0
NOC,NOC260116C540,0,-75.39,1,-1,0,0
NTB,NTB240216P30,-1,59.33,0,-1,0,0
NVDA,NVDA240621C127,0,996.56,2,-2,0,0
NVDA,NVDA240628C127,0,251.28,2,-2,0,0
NVDA,NVDA240705C128,0,664.65,0,-2,2,0
NVDA,NVDA240712C128,0,532.65,0,-2,0,2
NVS,NVS240719C100,2,0.0,0,0,0,2
NYCB,NYCB240216C2.5,0,9466.08,0,-50,0,50
NYCB,NYCB240216C4.5,0,-72.59,25,-25,0,0
NYCB,NYCB240223C4.5,0,614.57,10,-15,0,5
NYCB,NYCB240223C5,0,102.96,10,-10,0,0
NYCB,NYCB240308C3,0,994.84,0,-15,0,15
NYCB,NYCB240308C3.5,0,307.98,10,-10,0,0
NYCB,NYCB240308C4,0,542.95,10,-10,0,0
NYCB,NYCB240308C5,0,92.95,10,-10,0,0
NYCB,NYCB240315C4.5,0,162.96,10,-10,0,0
O,O231215P52.5,0,82.33,0,-1,1,0
O,O240216P55,-1,84.33,0,-1,0,0
O,O240621P62.5,-2,1118.65,0,-2,0,0
O,O240719C52.5,5,0.0,0,0,0,5
O,O240816C57.5,0,2687.3,0,-29,0,29
O,O240920C57.5,-12,3923.78,0,-12,0,0
O,O240920P65,-12,5471.71,0,-12,0,0
OKTA,OKTA240301C89,0,262.63,1,-1,0,0
OKTA,OKTA240308C83,0,646.3,0,-1,0,1
OXY,OXY240628C61,0,249.64,0,-2,0,2
OXY,OXY240705C62,0,312.97,0,-3,3,0
OXY,OXY240705C63,0,174.65,0,-2,2,0
OXY,OXY240719C63,0,52.48,5,-5,0,0
OXY,OXY240816C62.5,0,1115.45,5,-5,0,0
OXY,OXY240906C60,-5,296.62,0,-5,0,0
PCAR,PCAR240216C105,0,-138.36,1,-1,0,0
PCAR,PCAR240517C105,0,-454.37,1,-1,0,0
PCTY,PCTY240816C145,2,0.0,0,0,0,2
PCTY,PCTY240816P150,0,1498.6,0,-2,2,0
PLAB,PLAB240216C35,-1,55.33,0,-1,0,0
PLAB,PLAB240621C30,-1,49.33,0,-1,0,0
PLD,PLD240216P125,-1,209.33,0,-1,0,0
PLTR,PLTR240322C23,0,180.65,0,-2,0,2
PLTR,PLTR240328C23.5,0,838.24,0,-10,10,0
PLTR,PLTR240405C24,0,162.96,10,-10,0,0
PLTR,PLTR240412C24,0,222.96,10,-10,0,0
PLTR,PLTR240419C24,0,142.95,10,-10,0,0
PLTR,PLTR240426C22.5,0,192.96,10,-10,0,0
PLTR,PLTR240503C20.5,0,341.62,0,-5,0,5
PLTR,PLTR240503C22.5,0,-137.04,10,-10,0,0
PLTR,PLTR240510C21.5,0,2162.95,10,-10,0,0
PLTR,PLTR240517C22,0,102.97,10,-10,0,0
PLTR,PLTR240524C22,0,262.96,10,-10,0,0
PLTR,PLTR240531C22,0,253.23,0,-10,10,0
PLTR,PLTR240607C22.5,0,-453.54,10,-10,0,0
PLTR,PLTR240614C23,0,185.9,20,-20,0,0
PLTR,PLTR240621C23,0,533.23,0,-10,0,10
PLTR,PLTR240621C23.5,0,202.96,10,-10,0,0
PLTR,PLTR240628C24,0,403.23,0,-10,0,10
PLTR,PLTR240726C24,0,38.21,5,-5,0,0
PLTR,PLTR240809C24,0,-171.8,5,-5,0,0
PLTR,PLTR240906C24,-5,1876.56,0,-5,0,0
PLTR,PLTR240920C29,-5,2111.56,0,-5,0,0
PNNT,PNNT240621P7.5,-1,134.33,0,-1,0,0
PRU,PRU240315C105,0,288.32,0,-1,0,1
PSX,PSX240712C140,0,104.32,0,-1,1,0
PSX,PSX240719C140,0,141.29,1,-1,0,0
PSX,PSX240726C140,0,136.32,0,-1,0,1
QQH,QQH240419C50,-1,274.33,0,-1,0,0
QYLD,QYLD240920C17,0,686.44,0,-20,0,20
ROAD,ROAD240419C55,0,502.6,2,-2,0,0
ROAD,ROAD240517C55,0,360.65,0,-2,0,2
ROOT,ROOT240419C50,0,2011.91,3,-3,0,0
ROOT,ROOT240517C55,0,-956.09,3,-3,0,0
ROOT,ROOT240621C60,0,1513.9,3,-3,0,0
ROOT,ROOT240719C65,0,2113.87,3,-3,0,0
ROOT,ROOT240920C60,0,787.89,3,-3,0,0
RTX,RTX231027C76,0,59.33,0,-1,0,1
RTX,RTX231117C80,0,-251.34,1,-1,0,0
RTX,RTX240216C85,-1,294.33,0,-1,0,0
SCHD,SCHD231215P71,0,64.33,0,-1,1,0
SCM,SCM240315P12.5,-2,118.66,0,-2,0,0
SDGR,SDGR240719C25,2,0.0,0,0,2,0
SDGR,SDGR240816C25,0,146.6,2,-2,0,0
SDGR,SDGR240920C20,-2,156.65,0,-2,0,0
SM,SM240315C40,0,-640.7,2,-2,0,0
SM,SM240419C45,0,608.65,0,-2,0,2
SM,SM240419C50,0,62.58,2,-2,0,0
SM,SM240517C50,0,553.19,4,-4,0,0
SM,SM240517C52.5,0,241.59,2,-2,0,0
SM,SM240621C52.5,0,369.78,6,-6,0,0
SM,SM240719C50,0,793.91,0,-6,6,0
SM,SM240816C50,0,415.76,6,-6,0,0
SM,SM240920C47.5,-6,535.91,0,-6,0,0
SOUN,SOUN240223C2.5,0,2091.44,0,-20,0,20
SOUN,SOUN240301C4,0,833.07,0,-25,0,25
SOUN,SOUN240322C7,0,6864.76,50,-50,0,0
SOUN,SOUN240322C7.5,0,542.95,10,-10,0,0
SOUN,SOUN240328C7,0,514.8,50,-50,0,0
SOUN,SOUN240412C5,0,153.22,0,-10,10,0
