symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend,optionPremium
037636107,400.0,$-13.31,$-14.08,$-5322.94,400.0,$-14.08,0.0,$0.00,$310.36,0.0,$0.00
ABR,1000.0,$-10.42,$-11.56,$-10421.55,2993.0,$-12.66,-1993.0,$-13.20,$139.86,0.0,$1001.43
AGNC,10400.0,$-9.62,$-10.03,$-100060.06,13600.0,$-9.96,-3200.0,$-9.73,$1680.00,0.0,$2541.84
AOD,2500.0,$-8.15,$-8.42,$-20365.00,2500.0,$-8.42,0.0,$0.00,$690.00,0.0,$0.00
ASGI,750.0,$-17.06,$-17.68,$-12791.49,750.0,$-17.68,0.0,$0.00,$469.92,0.0,$0.00
AY,200.0,$-13.38,$-17.33,$-2676.80,300.0,$-19.86,-100.0,$-24.92,$111.25,0.0,$678.23
BAC,-600.0,$-53.38,$-53.38,$32025.13,500.0,$-28.45,-1350.0,$-34.26,$0.00,250.0,$0.00
BBDC,500.0,$-8.63,$-8.89,$-4315.00,500.0,$-8.89,0.0,$0.00,$130.00,0.0,$0.00
BBN,600.0,$-15.75,$-16.21,$-9448.10,600.0,$-16.21,0.0,$0.00,$279.71,0.0,$0.00
BDJ,250.0,$-7.61,$-7.72,$-1902.20,250.0,$-7.72,0.0,$0.00,$27.80,0.0,$0.00
BRSP,4300.0,$-5.90,$-6.58,$-25379.04,4300.0,$-6.58,0.0,$0.00,$1150.00,0.0,$1751.19
BRW,750.0,$-7.55,$-7.75,$-5663.75,750.0,$-7.75,0.0,$0.00,$148.75,0.0,$0.00
BUI,1260.0,$-21.34,$-21.89,$-26888.16,1260.0,$-21.89,0.0,$0.00,$689.47,0.0,$0.00
C,500.0,$-52.05,$-57.61,$-26027.13,533.0,$-56.70,-33.0,$-43.00,$210.00,0.0,$2565.60
CALM,700.0,$-49.52,$-52.64,$-34660.82,1150.0,$-49.51,-450.0,$-44.64,$1529.15,0.0,$655.30
CGBD,3500.0,$-14.05,$-14.59,$-49186.56,4000.0,$-14.71,-500.0,$-15.53,$1870.00,0.0,$0.00
CPA,525.0,$-90.08,$-115.36,$-47290.49,658.0,$-110.27,-133.0,$-90.15,$861.00,0.0,$12414.55
CUBE,200.0,$-47.87,$-48.95,$-9573.75,250.0,$-47.44,-50.0,$-41.39,$220.50,0.0,$-4.02
CVX,200.0,$-142.58,$-160.75,$-28516.05,450.0,$-160.18,-250.0,$-159.72,$0.00,0.0,$3633.80
DINO,200.0,$-29.10,$-53.08,$-5819.21,207.5,$-53.05,-7.5,$-52.15,$91.35,0.0,$4706.09
DSU,2500.0,$-9.65,$-10.02,$-24129.78,2500.0,$-10.02,0.0,$0.00,$929.72,0.0,$0.00
DSX,2026.0,$-1.92,$-3.92,$-3895.64,2000.0,$-4.06,-63.0,$-3.00,$600.91,89.0,$3439.27
DSXWS,417.0,$0.00,$0.00,$0.28,0.0,$0.00,0.0,$0.00,$0.28,417.0,$0.00
ECC,325.0,$-9.40,$-9.85,$-3056.01,700.0,$-10.60,-375.0,$-11.25,$144.00,0.0,$0.00
EFC,2500.0,$-12.74,$-13.68,$-31845.00,2500.0,$-13.68,0.0,$0.00,$2347.50,0.0,$0.00
EPR,650.0,$-36.54,$-39.99,$-23751.99,1000.0,$-41.51,-350.0,$-44.32,$1605.00,0.0,$638.95
EPRT,1600.0,$-23.20,$-23.89,$-37118.87,1600.0,$-23.89,0.0,$0.00,$658.00,0.0,$446.65
