037636107,400,13.31,01/01/2024
ABR,1000,10.42,01/01/2024
AGNC,10400,9.62,01/01/2024
AOD,2500,8.15,01/01/2024
ASGI,750,17.06,01/01/2024
AY,200,13.38,01/01/2024
BAC,-600,53.38,01/01/2024
BBDC,500,8.63,01/01/2024
BBN,600,15.75,01/01/2024
BDJ,250,7.61,01/01/2024
BRSP,4300,5.90,01/01/2024
BRW,750,7.55,01/01/2024
BUI,1260,21.34,01/01/2024
C,500,52.05,01/01/2024
CALM,700,49.52,01/01/2024
CGBD,3500,14.05,01/01/2024
CPA,525,90.08,01/01/2024
CUBE,200,47.87,01/01/2024
CVX,200,142.58,01/01/2024
DINO,200.00000000000000000000000000000000000000000000000000000,29.10,01/01/2024
DSU,2500,9.65,01/01/2024
DSX,2026,1.92,01/01/2024
DSXWS,417,1.00,01/01/2024
ECC,325,9.40,01/01/2024
EFC,2500,12.74,01/01/2024
EPR,650,36.54,01/01/2024
EPRT,1600,23.20,01/01/2024
EXG,1000,7.59,01/01/2024
FDUS,600,18.00,01/01/2024
FEPI,750,50.22,01/01/2024
GBDC,400,13.98,01/01/2024
GCT,1000,28.05,01/01/2024
GLAD,13300,10.18,01/01/2024
GOOD,200,11.88,01/01/2024
HGBL,1800,3.65,01/01/2024
HQH,700,16.74,01/01/2024
HR,200,16.42,01/01/2024
HTD,750,19.41,01/01/2024
IBKR,100,116.51,01/01/2024
IBM,100,184.86,01/01/2024
IMNM,1000,16.28,01/01/2024
JBBB,50,46.53,01/01/2024
JEPQ,700,43.59,01/01/2024
KRC,200,33.34,01/01/2024
L0C990030,-35481,1.00,01/01/2024
LADR,1500,8.70,01/01/2024
LFMD,1000,7.73,01/01/2024
MAA,75,140.92,01/01/2024
MAIN,1300,38.65,01/01/2024
MARA,500,16.92,01/01/2024
MEGI,1300,11.31,01/01/2024
MFC,800,17.83,01/01/2024
MFIC,381,1.00,01/01/2024
MO,300,37.38,01/01/2024
MOAT,200,75.37,01/01/2024
MRCC,1000,7.76,01/01/2024
MTDR,-400,62.50,01/01/2024
NEP,100,27.61,01/01/2024
NNN,550,39.69,01/01/2024
NVS,-200,100.00,01/01/2024
O,1100,42.85,01/01/2024
OBDC,2500,12.94,01/01/2024
OXLC,6000,4.65,01/01/2024
OXY,500,58.78,01/01/2024
PCF,1000,6.68,01/01/2024
PCTY,-200,152.49,01/01/2024
PDI,1400,16.97,01/01/2024
PDO,1500,12.22,01/01/2024
PFLT,3000,9.94,01/01/2024
PLAB,200,23.47,01/01/2024
PLTR,1000,18.59,01/01/2024
PNNT,5000,5.89,01/01/2024
QQH,100,45.10,01/01/2024
QYLD,-2000,17.70,01/01/2024
RNP,600,18.19,01/01/2024
RTX,100,68.29,01/01/2024
SCM,1800,13.15,01/01/2024
SM,600,44.74,01/01/2024
SOUN,5000,3.82,01/01/2024
SPE,500,9.11,01/01/2024
SPXS,3000,7.60,01/01/2024
SPXX,400,14.71,01/01/2024
SPYI,500,47.12,01/01/2024
SVOL,200,19.86,01/01/2024
TCPC,900,11.17,01/01/2024
THQ,500,18.37,01/01/2024
TQQQ,200,17.43,01/01/2024
USA,1500,6.55,01/01/2024
USFD,200,49.11,01/01/2024
USOI,50,62.83,01/01/2024
UTF,100,17.79,01/01/2024
UTG,400,26.62,01/01/2024
VICI,700,29.76,01/01/2024
VLO,100,72.93,01/01/2024
VNQ,-200,86.00,01/01/2024
VWAPY,300,13.09,01/01/2024
VZ,-200,41.66,01/01/2024
WHF,1350,12.12,01/01/2024
WPC,2500,65.09,01/01/2024
XFLT,250,6.60,01/01/2024
XLE,100,71.37,01/01/2024
