symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
"",0.0,$0.00,$0.00,$1446622.13,0.0,$0.00,0.0,$0.00,$1446622.13,0.0
02607T109,0.0,$0.00,$0.00,$712.44,1000.0,$-6.27,-1000.0,$-6.77,$212.50,0.0
123990BL6,0.0,$0.00,$0.00,$340.42,0.0,$0.00,0.0,$0.00,$340.42,0.0
15101Q108,0.0,$0.00,$0.00,$-7718.06,400.0,$-42.56,-200.0,$-46.53,$0.00,-200.0
27032D304,0.0,$0.00,$0.00,$-100.61,4.6,$-22.21,0.0,$0.00,$0.66,-4.6
351471107,0.0,$0.00,$0.00,$22.99,100.0,$-0.40,-100.0,$-0.63,$0.00,0.0
38173MAA0,0.0,$0.00,$0.00,$28.26,2000.0,$-0.99,-2000.0,$-0.99,$33.75,0.0
393221106,0.0,$0.00,$0.00,$36.66,150.0,$-12.82,-150.0,$-13.06,$0.00,0.0
649445103,0.0,$0.00,$0.00,$-11460.16,10000.0,$-4.17,-10000.0,$-3.02,$15.00,0.0
720198AG5,0.0,$0.00,$0.00,$27.01,2000.0,$-1.04,-2000.0,$-1.05,$0.00,0.0
848560108,0.0,$0.00,$0.00,$11.02,320.0,$-0.67,-320.0,$-0.70,$0.00,0.0
917286205,0.0,$0.00,$0.00,$1437.41,500.0,$-17.25,-500.0,$-20.12,$0.00,0.0
AAPL,0.0,$0.00,$0.00,$169.89,52.0,$-163.45,-52.0,$-166.72,$0.00,0.0
ABNB,0.0,$0.00,$0.00,$1.19,6.0,$-119.13,-6.0,$-119.33,$0.00,0.0
ABT,0.0,$0.00,$0.00,$102.55,10.0,$-102.60,-10.0,$-112.34,$5.10,0.0
ACLS,0.0,$0.00,$0.00,$16.72,44.0,$-126.62,-44.0,$-127.00,$0.00,0.0
ACRE,0.0,$0.00,$0.00,$0.44,266.0,$-8.63,-266.0,$-8.63,$0.00,0.0
ADC,0.0,$0.00,$0.00,$260.46,301.0,$-63.61,-301.0,$-64.39,$23.91,0.0
ADM,0.0,$0.00,$0.00,$496.91,200.0,$-59.78,-200.0,$-61.00,$0.00,0.0
ADX,0.0,$0.00,$0.00,$1.50,50.0,$-15.73,-50.0,$-15.76,$0.00,0.0
AHH,0.0,$0.00,$0.00,$237.04,250.0,$-11.28,-250.0,$-12.03,$48.75,0.0
AIRC,0.0,$0.00,$0.00,$36.86,43.0,$-35.47,-43.0,$-36.33,$0.00,0.0
AM,0.0,$0.00,$0.00,$658.48,416.0,$-10.49,-416.0,$-11.85,$93.60,0.0
AMGN,0.0,$0.00,$0.00,$-14.82,1.0,$-287.16,-1.0,$-272.97,$0.00,0.0
AMH,0.0,$0.00,$0.00,$94.83,75.0,$-31.93,-75.0,$-33.19,$0.00,0.0
ANVS,0.0,$0.00,$0.00,$834.75,1000.0,$-11.20,-1000.0,$-13.31,$0.00,0.0
AOD,0.0,$0.00,$0.00,$9.55,2680.0,$-8.40,-2680.0,$-8.04,$990.15,0.0
AOIFF,0.0,$0.00,$0.00,$-10.67,100.0,$-2.31,-100.0,$-2.20,$0.00,0.0
APA,0.0,$0.00,$0.00,$6.62,17.0,$-37.50,-17.0,$-37.64,$4.25,0.0
APAM,0.0,$0.00,$0.00,$282.35,450.0,$-38.98,-450.0,$-39.00,$274.50,0.0
APLE,0.0,$0.00,$0.00,$468.38,773.0,$-15.35,-773.0,$-15.63,$241.84,0.0
APTV,0.0,$0.00,$0.00,$-4.13,1.0,$-107.87,-1.0,$-103.74,$0.00,0.0
ARCC,0.0,$0.00,$0.00,$1027.68,1501.0,$-18.22,-1501.0,$-18.74,$240.00,0.0
