Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-04-17,C,$-4977.00," "," "," ",100.0,$-4977.00,$-49.77,"=stockhistory(B2,A2,,0,0,1)",100.0," ",$-49.77
2023-05-01,C," ",$-9.68," "," ",100.0,$-4986.68,$-49.87,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2023-05-26,C," ",$-17.31,$51.00," ",100.0,$-4952.99,$-49.53,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2023-06-01,C," ",$-4.13," "," ",100.0,$-4957.12,$-49.57,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2023-07-01,C," ",$-20.65," "," ",100.0,$-4977.77,$-49.78,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-08-01,C," ",$-21.43," "," ",100.0,$-4999.21,$-49.99,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-08-14,C,$-2208.39,$-9.03," "," ",150.0,$-7216.62,$-48.11,"=stockhistory(B8,A8,,0,0,1)",50.0," ",$-44.17
2023-08-25,C," ",$-11.03,$53.00," ",150.0,$-7174.65,$-47.83,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2023-09-01,C," ",$-6.98," "," ",150.0,$-7181.62,$-47.88,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2023-10-01,C," ",$-29.92," "," ",150.0,$-7211.55,$-48.08,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2023-10-13,C,$-2117.34,$-12.02," "," ",200.0,$-9340.91,$-46.70,"=stockhistory(B12,A12,,0,0,1)",83.0,33.0,$-42.35
2023-11-01,C," ",$-24.65," "," ",200.0,$-9365.56,$-46.83,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2023-11-21,C," ",$-26.02," ",$350.66,200.0,$-9040.91,$-45.20,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-11-22,C," ",$-1.26,$106.00," ",200.0,$-8936.17,$-44.68,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-12-01,C," ",$-11.17," "," ",200.0,$-8947.34,$-44.74,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2024-01-01,C," ",$-38.52," "," ",200.0,$-8985.86,$-44.93,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-01-03,C," ",$-2.50," ",$414.32,200.0,$-8574.04,$-42.87,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-01-17,C,$-615.00,$-16.67," "," ",212.0,$-9205.71,$-43.42,"=stockhistory(B19,A19,,0,0,1)",12.0," ",$-51.25
2024-02-01,C," ",$-19.18," ",$-280.68,212.0,$-9505.57,$-44.84,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2024-02-05,C,$-10983.29,$-5.28," ",$57.64,412.0,$-20436.50,$-49.60,"=stockhistory(B21,A21,,0,0,1)",200.0," ",$-54.92
2024-02-12,C," ",$-19.87," ",$62.65,412.0,$-20393.72,$-49.50,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2024-02-14,C,$648.11,$-5.66," "," ",400.0,$-19751.27,$-49.38,"=stockhistory(B23,A23,,0,0,1)"," ",12.0,$-54.01
2024-02-15,C," ",$-2.74," ",$222.60,400.0,$-19531.41,$-48.83,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2024-02-23,C," ",$-21.70,$112.36,$-302.70,400.0,$-19743.46,$-49.36,"=stockhistory(B25,A25,,0,0,1)"," "," "," "
2024-03-01,C," ",$-19.20," "," ",400.0,$-19762.65,$-49.41,"=stockhistory(B26,A26,,0,0,1)"," "," "," "
2024-03-08,C," ",$-19.21," ",$148.65,400.0,$-19633.22,$-49.08,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2024-03-18,C,$11499.90,$-27.27," "," ",200.0,$-8160.58,$-40.80,"=stockhistory(B28,A28,,0,0,1)"," ",200.0,$-57.50
2024-04-01,C,$-31615.00,$-15.87," ",$411.62,700.0,$-39379.83,$-56.26,"=stockhistory(B29,A29,,0,0,1)",500.0," ",$-63.23
2024-04-04,C," ",$-16.41," ",$346.49,700.0,$-39049.75,$-55.79,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2024-04-15,C," ",$-59.66," "," ",700.0,$-39109.41,$-55.87,"=stockhistory(B31,A31,,0,0,1)"," "," "," "
2024-04-17,C," ",$-10.86," ",$166.62,700.0,$-38953.65,$-55.65,"=stockhistory(B32,A32,,0,0,1)"," "," "," "
2024-04-26,C," ",$-48.69," ",$-1120.49,700.0,$-40122.83,$-57.32,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
2024-05-01,C," ",$-27.86," "," ",700.0,$-40150.70,$-57.36,"=stockhistory(B34,A34,,0,0,1)"," "," "," "
2024-05-24,C," ",$-128.26,$371.00," ",700.0,$-39907.96,$-57.01,"=stockhistory(B35,A35,,0,0,1)"," "," "," "
2024-06-01,C," ",$-44.34," "," ",700.0,$-39952.30,$-57.07,"=stockhistory(B36,A36,,0,0,1)"," "," "," "
2024-07-01,C," ",$-166.47," "," ",700.0,$-40118.77,$-57.31,"=stockhistory(B37,A37,,0,0,1)"," "," "," "
2024-07-29,C," ",$-156.02," ",$222.97,700.0,$-40051.81,$-57.22,"=stockhistory(B38,A38,,0,0,1)"," "," "," "
2024-08-01,C," ",$-16.69," "," ",700.0,$-40068.50,$-57.24,"=stockhistory(B39,A39,,0,0,1)"," "," "," "
2024-08-05,C,$-19500.00,$-22.26," "," ",1000.0,$-59590.76,$-59.59,"=stockhistory(B40,A40,,0,0,1)",300.0," ",$-65.00
2024-08-08,C," ",$-24.83," ",$1991.97,1000.0,$-57623.62,$-57.62,"=stockhistory(B41,A41,,0,0,1)"," "," "," "
2024-08-23,C," ",$-120.05,$560.00," ",1000.0,$-57183.67,$-57.18,"=stockhistory(B42,A42,,0,0,1)"," "," "," "
2024-09-01,C," ",$-71.48," "," ",1000.0,$-57255.15,$-57.26,"=stockhistory(B43,A43,,0,0,1)"," "," "," "
2024-10-01,C," ",$-238.56," "," ",1000.0,$-57493.71,$-57.49,"=stockhistory(B44,A44,,0,0,1)"," "," "," "
2024-11-01,C," ",$-247.54," "," ",1000.0,$-57741.26,$-57.74,"=stockhistory(B45,A45,,0,0,1)"," "," "," "
2024-11-22,C," ",$-168.41,$560.00," ",1000.0,$-57349.67,$-57.35,"=stockhistory(B46,A46,,0,0,1)"," "," "," "
2024-12-01,C," ",$-71.69," "," ",1000.0,$-57421.36,$-57.42,"=stockhistory(B47,A47,,0,0,1)"," "," "," "
2024-12-09,C," ",$-63.80," ",$-863.58,1000.0,$-58348.74,$-58.35,"=stockhistory(B48,A48,,0,0,1)"," "," "," "
2025-01-01,C," ",$-186.39," "," ",1000.0,$-58535.13,$-58.54,"=stockhistory(B49,A49,,0,0,1)"," "," "," "
2025-02-01,C," ",$-252.03," "," ",1000.0,$-58787.16,$-58.79,"=stockhistory(B50,A50,,0,0,1)"," "," "," "
2025-02-12,C," ",$-89.81," ",$546.60,1000.0,$-58330.37,$-58.33,"=stockhistory(B51,A51,,0,0,1)"," "," "," "
2025-02-13,C," ",$-8.10," ",$-190.13,1000.0,$-58528.60,$-58.53,"=stockhistory(B52,A52,,0,0,1)"," "," "," "
2025-02-28,C," ",$-121.93,$560.00," ",1000.0,$-58090.54,$-58.09,"=stockhistory(B53,A53,,0,0,1)"," "," "," "
2025-03-01,C," ",$-8.07," "," ",1000.0,$-58098.60,$-58.10,"=stockhistory(B54,A54,,0,0,1)"," "," "," "
2025-04-01,C," ",$-250.15," "," ",1000.0,$-58348.75,$-58.35,"=stockhistory(B55,A55,,0,0,1)"," "," "," "
