Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-10-09,DINO,$-10620.00," "," "," ",200.0,$-10620.00,$-53.10,"=stockhistory(B2,A2,,0,0,1)",200.0," ",$-53.10
2023-10-16,DINO,$-149.95,$-10.33," "," ",202.7,$-10780.28,$-53.17,"=stockhistory(B3,A3,,0,0,1)",2.7," ",$-54.63
2023-10-18,DINO,$-99.47,$-2.99," "," ",204.5,$-10882.74,$-53.21,"=stockhistory(B4,A4,,0,0,1)",1.8," ",$-55.98
2023-11-01,DINO," ",$-21.16," "," ",204.5,$-10903.90,$-53.31,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2023-11-06,DINO,$251.93,$-7.57," "," ",200.0,$-10659.54,$-53.30,"=stockhistory(B6,A6,,0,0,1)"," ",4.5,$-55.71
2023-11-22,DINO," ",$-23.69," ",$158.66,200.0,$-10524.57,$-52.62,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-12-01,DINO," ",$-13.16," "," ",200.0,$-10537.73,$-52.69,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-12-05,DINO," ",$-5.85,$90.00," ",200.0,$-10453.58,$-52.27,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2023-12-26,DINO," ",$-30.49," ",$133.65,200.0,$-10350.42,$-51.75,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2023-12-28,DINO," ",$-2.88," ",$-180.67,200.0,$-10533.97,$-52.67,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2024-01-01,DINO," ",$-5.85," "," ",200.0,$-10539.82,$-52.70,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2024-01-05,DINO," ",$-5.86," ",$69.29,200.0,$-10476.38,$-52.38,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2024-01-11,DINO," ",$-8.73," ",$59.32,200.0,$-10425.79,$-52.13,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2024-01-12,DINO," ",$-1.45," ",$-50.03,200.0,$-10477.27,$-52.39,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-01-23,DINO,$-684.13,$-16.01," "," ",213.0,$-11177.41,$-52.48,"=stockhistory(B16,A16,,0,0,1)",13.0," ",$-52.63
2024-01-26,DINO," ",$-4.66," ",$648.64,213.0,$-10533.43,$-49.45,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-02-01,DINO," ",$-8.78," ",$-50.03,213.0,$-10592.23,$-49.73,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-02-14,DINO," ",$-19.12," ",$-761.36,213.0,$-11372.72,$-53.39,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2024-02-15,DINO,$794.31,$-1.58," "," ",200.0,$-10579.99,$-52.90,"=stockhistory(B20,A20,,0,0,1)"," ",13.0,$-61.10
2024-02-20,DINO,$-17979.00,$-7.35," ",$576.96,500.0,$-27989.37,$-55.98,"=stockhistory(B21,A21,,0,0,1)",300.0," ",$-59.93
2024-02-29,DINO," ",$-34.99," ",$1186.47,500.0,$-26837.89,$-53.68,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2024-03-01,DINO," ",$-3.73," "," ",500.0,$-26841.62,$-53.68,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2024-03-05,DINO," ",$-14.91,$250.00,$398.65,500.0,$-26207.88,$-52.42,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
