Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2024-04-22,FEPI,$-10394.00," "," "," ",200.0,$-10394.00,$-51.97,"=stockhistory(B2,A2,,0,0,1)",200.0," ",$-51.97
2024-04-25,FEPI," ",$-10.46,$218.60," ",200.0,$-10185.86,$-50.93,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2024-04-26,FEPI," ",$-3.42," "," ",200.0,$-10189.28,$-50.95,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2024-05-01,FEPI," ",$-17.09," "," ",200.0,$-10206.36,$-51.03,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2024-05-28,FEPI," ",$-92.43,$232.26," ",200.0,$-10066.54,$-50.33,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2024-06-01,FEPI," ",$-13.51," "," ",200.0,$-10080.04,$-50.40,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2024-06-26,FEPI," ",$-84.53,$229.95," ",200.0,$-9934.62,$-49.67,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2024-07-01,FEPI," ",$-16.66," "," ",200.0,$-9951.28,$-49.76,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2024-07-17,FEPI,$-16503.00,$-53.41," ",$36.02,500.0,$-26471.66,$-52.94,"=stockhistory(B10,A10,,0,0,1)",300.0," ",$-55.01
2024-07-25,FEPI,$-12812.50,$-71.03," "," ",750.0,$-39355.20,$-52.47,"=stockhistory(B11,A11,,0,0,1)",250.0," ",$-51.25
2024-07-29,FEPI," ",$-52.80,$816.58," ",750.0,$-38591.42,$-51.46,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2024-08-01,FEPI," ",$-38.83," "," ",750.0,$-38630.25,$-51.51,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2024-08-02,FEPI," ",$-12.96," ",$-30.08,750.0,$-38673.29,$-51.56,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2024-08-28,FEPI," ",$-337.26,$809.44," ",750.0,$-38201.11,$-50.93,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-08-29,FEPI," ",$-12.81," "," ",750.0,$-38213.92,$-50.95,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2024-09-01,FEPI," ",$-38.45," "," ",750.0,$-38252.38,$-51.00,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-09-27,FEPI," ",$-333.59,$819.20," ",750.0,$-37766.77,$-50.36,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-10-01,FEPI," ",$-50.67," "," ",750.0,$-37817.44,$-50.42,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2024-10-25,FEPI," ",$-304.43,$808.19," ",750.0,$-37313.68,$-49.75,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
