Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2024-02-06,GCT,$-2853.00," "," ",$402.32,100.0,$-2450.68,$-24.51,"=stockhistory(B2,A2,,0,0,1)",100.0," ",$-28.53
2024-02-13,GCT,$-6160.00,$-2.38," ",$9.45,300.0,$-8603.61,$-28.68,"=stockhistory(B3,A3,,0,0,1)",200.0," ",$-30.80
2024-02-15,GCT,$-7388.02,$-2.39," ",$1484.55,500.0,$-14509.47,$-29.02,"=stockhistory(B4,A4,,0,0,1)",300.0,100.0,$-36.94
2024-03-01,GCT," ",$-30.23," "," ",500.0,$-14539.70,$-29.08,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2024-03-04,GCT," ",$-6.06," ",$199.32,500.0,$-14346.44,$-28.69,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2024-03-18,GCT,$17499.86,$-27.90," "," "," ",$3125.53,,"=stockhistory(B7,A7,,0,0,1)"," ",500.0,$-35.00
2024-03-26,GCT,$-13870.00,$3.47," ",$1116.61,500.0,$-9624.39,$-19.25,"=stockhistory(B8,A8,,0,0,1)",500.0," ",$-27.74
2024-04-01,GCT," ",$-8.02," "," ",500.0,$-9632.41,$-19.26,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2024-04-12,GCT," ",$-14.72," ",$561.61,500.0,$-9085.52,$-18.17,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2024-04-17,GCT," ",$-6.31," ",$-50.13,500.0,$-9141.96,$-18.28,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2024-04-19,GCT,$11999.90,$-2.54," "," ",100.0,$2855.40,$28.55,"=stockhistory(B12,A12,,0,0,1)"," ",400.0,$-30.00
2024-04-22,GCT,$2999.97,$1.19," "," "," ",$5856.56,,"=stockhistory(B13,A13,,0,0,1)"," ",100.0,$-30.00
2024-05-01,GCT," ",$7.32," "," "," ",$5863.88,,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2024-06-01,GCT," ",$25.25," "," "," ",$5889.13,,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-07-01,GCT," ",$24.54," "," "," ",$5913.67,,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2024-07-17,GCT,$-29790.00,$13.14," ",$1424.80,1000.0,$-22438.39,$-22.44,"=stockhistory(B17,A17,,0,0,1)",1000.0," ",$-29.79
2024-07-19,GCT," ",$-6.23," ",$1732.90,1000.0,$-20711.72,$-20.71,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-08-01,GCT," ",$-37.40," "," ",1000.0,$-20749.12,$-20.75,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2024-08-15,GCT,$-15000.00,$-40.35," "," ",1500.0,$-35789.46,$-23.86,"=stockhistory(B20,A20,,0,0,1)",500.0," ",$-30.00
2024-08-19,GCT," ",$-19.88," "," ",1500.0,$-35809.35,$-23.87,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2024-08-23,GCT," ",$-19.89," ",$5243.09,1500.0,$-30586.15,$-20.39,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2024-08-29,GCT," ",$-25.49," ",$1003.20,1500.0,$-29608.44,$-19.74,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2024-09-01,GCT," ",$-12.34," "," ",1500.0,$-29620.78,$-19.75,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2024-09-05,GCT,$-9000.00,$-16.46," "," ",1800.0,$-38637.23,$-21.47,"=stockhistory(B25,A25,,0,0,1)",300.0," ",$-30.00
2024-09-06,GCT,$-6000.00,$-5.37," "," ",2000.0,$-44642.60,$-22.32,"=stockhistory(B26,A26,,0,0,1)",200.0," ",$-30.00
2024-09-10,GCT," ",$-24.80," ",$121.61,2000.0,$-44545.79,$-22.27,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2024-09-18,GCT," ",$-49.50," ",$246.47,2000.0,$-44348.82,$-22.17,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
