Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-04-03,O,$-625.00," "," "," ",10.0,$-625.00,$-62.50,"=stockhistory(B2,A2,,0,0,1)",10.0," ",$-62.50
2023-04-10,O,$-12054.36,$-0.61," "," ",205.0,$-12679.97,$-61.85,"=stockhistory(B3,A3,,0,0,1)",195.0," ",$-61.82
2023-04-11,O,$-13741.36,$-1.76," "," ",427.0,$-26423.09,$-61.88,"=stockhistory(B4,A4,,0,0,1)",222.0," ",$-61.90
2023-04-13,O,$-3050.00,$-7.34," "," ",477.0,$-29480.43,$-61.80,"=stockhistory(B5,A5,,0,0,1)",50.0," ",$-61.00
2023-04-14,O,$-3025.00,$-4.09," "," ",527.0,$-32509.52,$-61.69,"=stockhistory(B6,A6,,0,0,1)",50.0," ",$-60.50
2023-04-17,O,$-3233.00,$-13.55," "," ",580.0,$-35756.07,$-61.65,"=stockhistory(B7,A7,,0,0,1)",53.0," ",$-61.00
2023-04-24,O,$-4326.00,$-34.76," "," ",650.0,$-40116.83,$-61.72,"=stockhistory(B8,A8,,0,0,1)",70.0," ",$-61.80
2023-05-01,O," ",$-39.00," "," ",650.0,$-40155.83,$-61.78,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2023-05-15,O," ",$-78.08,$165.75," ",650.0,$-40068.16,$-61.64,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2023-05-24,O,$-11915.00,$-50.09," "," ",850.0,$-52033.25,$-61.22,"=stockhistory(B11,A11,,0,0,1)",200.0," ",$-59.58
2023-06-01,O," ",$-57.81," "," ",850.0,$-52091.06,$-61.28,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2023-06-15,O," ",$-101.29,$216.75," ",850.0,$-51975.60,$-61.15,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2023-06-23,O,$-11800.00,$-57.75," "," ",1050.0,$-63833.35,$-60.79,"=stockhistory(B14,A14,,0,0,1)",200.0," ",$-59.00
2023-07-01,O," ",$-70.93," "," ",1050.0,$-63904.28,$-60.86,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-07-07,O,$-2980.00,$-53.25," "," ",1100.0,$-66937.53,$-60.85,"=stockhistory(B16,A16,,0,0,1)",50.0," ",$-59.60
2023-07-14,O," ",$-65.08,$268.28," ",1100.0,$-66734.33,$-60.67,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2023-07-20,O,$37499.70,$-55.61," "," ",500.0,$-29290.24,$-58.58,"=stockhistory(B18,A18,,0,0,1)"," ",600.0,$-62.50
2023-07-24,O,$12563.89,$-16.27," "," ",300.0,$-16742.63,$-55.81,"=stockhistory(B19,A19,,0,0,1)"," ",200.0,$-62.82
2023-07-28,O,$-37464.00,$-9.30," "," ",900.0,$-54215.93,$-60.24,"=stockhistory(B20,A20,,0,0,1)",600.0," ",$-62.44
2023-08-01,O," ",$-30.12," "," ",900.0,$-54246.05,$-60.27,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2023-08-04,O,$-65074.08,$-22.60," "," ",2000.0,$-119342.73,$-59.67,"=stockhistory(B22,A22,,0,0,1)",1100.0," ",$-59.16
2023-08-10,O,$-5886.00,$-99.45," "," ",2100.0,$-125328.18,$-59.68,"=stockhistory(B23,A23,,0,0,1)",100.0," ",$-58.86
2023-08-14,O,$-11651.00,$-69.63," "," ",2300.0,$-137048.81,$-59.59,"=stockhistory(B24,A24,,0,0,1)",200.0," ",$-58.26
2023-08-15,O,$-11544.00,$-19.03,$229.95," ",2500.0,$-148381.89,$-59.35,"=stockhistory(B25,A25,,0,0,1)",200.0," ",$-57.72
2023-08-16,O,$-31415.00,$-20.61," "," ",3050.0,$-179817.50,$-58.96,"=stockhistory(B26,A26,,0,0,1)",550.0," ",$-57.12
2023-08-23,O,$-2853.50,$-174.82," "," ",3100.0,$-182845.82,$-58.98,"=stockhistory(B27,A27,,0,0,1)",50.0," ",$-57.07
2023-08-24,O,$-2837.50,$-25.40," "," ",3150.0,$-185708.72,$-58.96,"=stockhistory(B28,A28,,0,0,1)",50.0," ",$-56.75
2023-08-25,O,$-2800.00,$-25.79," "," ",3200.0,$-188534.51,$-58.92,"=stockhistory(B29,A29,,0,0,1)",50.0," ",$-56.00
2023-09-01,O," ",$-183.30," "," ",3200.0,$-188717.81,$-58.97,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2023-09-05,O,$-2768.50,$-104.84," "," ",3250.0,$-191591.15,$-58.95,"=stockhistory(B31,A31,,0,0,1)",50.0," ",$-55.37
