Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-04-04,SCM,$-1390.50," "," "," ",100.0,$-1390.50,$-13.91,"=stockhistory(B2,A2,,0,0,1)",100.0," ",$-13.91
2023-04-10,SCM,$-5546.77,$-1.16," "," ",500.0,$-6938.43,$-13.88,"=stockhistory(B3,A3,,0,0,1)",400.0," ",$-13.87
2023-04-19,SCM,$-1375.00,$-8.67," "," ",600.0,$-8322.10,$-13.87,"=stockhistory(B4,A4,,0,0,1)",100.0," ",$-13.75
2023-05-01,SCM," ",$-13.87," "," ",600.0,$-8335.97,$-13.89,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2023-05-15,SCM," ",$-16.21,$79.98," ",600.0,$-8272.20,$-13.79,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-06-01,SCM," ",$-19.53," "," ",600.0,$-8291.73,$-13.82,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-06-15,SCM," ",$-16.12,$79.98," ",600.0,$-8227.88,$-13.71,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-07-01,SCM," ",$-18.28," "," ",600.0,$-8246.16,$-13.74,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2023-07-14,SCM," ",$-14.89,$79.98," ",600.0,$-8181.07,$-13.64,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2023-07-20,SCM,$-5920.00,$-6.82," "," ",1000.0,$-14107.89,$-14.11,"=stockhistory(B11,A11,,0,0,1)",400.0," ",$-14.80
2023-08-01,SCM," ",$-23.51," "," ",1000.0,$-14131.40,$-14.13,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2023-08-02,SCM,$1187.36,$-1.96," "," ",921.0,$-12946.00,$-14.06,"=stockhistory(B13,A13,,0,0,1)"," ",79.0,$-15.03
2023-08-09,SCM,$-6060.00,$-12.59," "," ",1321.0,$-19018.59,$-14.40,"=stockhistory(B14,A14,,0,0,1)",400.0," ",$-15.15
2023-08-15,SCM," ",$-15.85,$133.30," ",1321.0,$-18901.14,$-14.31,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-08-28,SCM,$-2506.00,$-34.13," "," ",1500.0,$-21441.26,$-14.29,"=stockhistory(B16,A16,,0,0,1)",179.0," ",$-14.00
2023-09-01,SCM," ",$-11.91," "," ",1500.0,$-21453.18,$-14.30,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2023-09-15,SCM," ",$-41.71,$199.95," ",1500.0,$-21294.94,$-14.20,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2023-09-19,SCM,$-2870.00,$-11.83," "," ",1700.0,$-24176.77,$-14.22,"=stockhistory(B19,A19,,0,0,1)",200.0," ",$-14.35
2023-10-01,SCM," ",$-40.29," "," ",1700.0,$-24217.07,$-14.25,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2023-10-09,SCM,$-1340.00,$-26.91," "," ",1800.0,$-25583.97,$-14.21,"=stockhistory(B21,A21,,0,0,1)",100.0," ",$-13.40
2023-10-13,SCM," ",$-14.21,$226.61," ",1800.0,$-25371.58,$-14.10,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2023-11-01,SCM," ",$-66.95," "," ",1800.0,$-25438.53,$-14.13,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2023-11-15,SCM," ",$-49.46,$239.94," ",1800.0,$-25248.05,$-14.03,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2023-12-01,SCM," ",$-56.11," "," ",1800.0,$-25304.16,$-14.06,"=stockhistory(B25,A25,,0,0,1)"," "," "," "
2023-12-07,SCM," ",$-21.09," ",$118.66,1800.0,$-25206.59,$-14.00,"=stockhistory(B26,A26,,0,0,1)"," "," "," "
2023-12-15,SCM," ",$-28.01,$239.94," ",1800.0,$-24994.65,$-13.89,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2023-12-29,SCM," ",$-48.60,$239.94," ",1800.0,$-24803.31,$-13.78,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
2024-01-01,SCM," ",$-10.33," "," ",1800.0,$-24813.65,$-13.79,"=stockhistory(B29,A29,,0,0,1)"," "," "," "
2024-01-05,SCM," ",$-13.79," ",$-50.06,1800.0,$-24877.49,$-13.82,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2024-01-19,SCM,$-297.39,$-48.37," "," ",1823.0,$-25223.26,$-13.84,"=stockhistory(B31,A31,,0,0,1)",23.0," ",$-12.93
2024-01-30,SCM," ",$-38.54," ",$193.23,1823.0,$-25068.56,$-13.75,"=stockhistory(B32,A32,,0,0,1)"," "," "," "
2024-02-01,SCM," ",$-6.96," "," ",1823.0,$-25075.53,$-13.76,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
2024-02-08,SCM," ",$-24.38," ",$114.59,1823.0,$-24985.32,$-13.71,"=stockhistory(B34,A34,,0,0,1)"," "," "," "
2024-02-14,SCM,$-191.25,$-20.82," "," ",1838.0,$-25197.39,$-13.71,"=stockhistory(B35,A35,,0,0,1)",15.0," ",$-12.75
2024-02-15,SCM,$-806.00,$-3.50,$243.01," ",1900.0,$-25763.88,$-13.56,"=stockhistory(B36,A36,,0,0,1)",62.0," ",$-13.00
2024-02-22,SCM,$1297.98,$-25.05," "," ",1800.0,$-24490.94,$-13.61,"=stockhistory(B37,A37,,0,0,1)"," ",100.0,$-12.98
2024-03-01,SCM," ",$-27.21," "," ",1800.0,$-24518.16,$-13.62,"=stockhistory(B38,A38,,0,0,1)"," "," "," "
2024-03-15,SCM," ",$-47.67,$239.94," ",1800.0,$-24325.89,$-13.51,"=stockhistory(B39,A39,,0,0,1)"," "," "," "
2024-03-28,SCM,$-2630.00,$-43.92," "," ",2000.0,$-26999.81,$-13.50,"=stockhistory(B40,A40,,0,0,1)",200.0," ",$-13.15
2024-04-01,SCM," ",$-15.00," "," ",2000.0,$-27014.81,$-13.51,"=stockhistory(B41,A41,,0,0,1)"," "," "," "
2024-04-15,SCM," ",$-52.53,$239.94," ",2000.0,$-26827.40,$-13.41,"=stockhistory(B42,A42,,0,0,1)"," "," "," "
2024-05-01,SCM," ",$-59.62," "," ",2000.0,$-26887.02,$-13.44,"=stockhistory(B43,A43,,0,0,1)"," "," "," "
2024-05-15,SCM," ",$-52.28,$266.60," ",2000.0,$-26672.70,$-13.34,"=stockhistory(B44,A44,,0,0,1)"," "," "," "
2024-05-22,SCM,$-13980.00,$-25.93," "," ",3000.0,$-40678.63,$-13.56,"=stockhistory(B45,A45,,0,0,1)",1000.0," ",$-13.98
2024-06-01,SCM," ",$-56.50," "," ",3000.0,$-40735.13,$-13.58,"=stockhistory(B46,A46,,0,0,1)"," "," "," "
2024-06-03,SCM,$-11040.00,$-11.32," "," ",3800.0,$-51786.44,$-13.63,"=stockhistory(B47,A47,,0,0,1)",800.0," ",$-13.80
2024-06-14,SCM," ",$-79.12,$399.90," ",3800.0,$-51465.66,$-13.54,"=stockhistory(B48,A48,,0,0,1)"," "," "," "
2024-07-01,SCM," ",$-121.52," "," ",3800.0,$-51587.18,$-13.58,"=stockhistory(B49,A49,,0,0,1)"," "," "," "
2024-07-15,SCM," ",$-100.31,$506.54," ",3800.0,$-51180.95,$-13.47,"=stockhistory(B50,A50,,0,0,1)"," "," "," "
2024-08-01,SCM," ",$-120.84," "," ",3800.0,$-51301.79,$-13.50,"=stockhistory(B51,A51,,0,0,1)"," "," "," "
2024-08-15,SCM," ",$-99.75,$506.54," ",3800.0,$-50895.00,$-13.39,"=stockhistory(B52,A52,,0,0,1)"," "," "," "
2024-09-01,SCM," ",$-120.17," "," ",3800.0,$-51015.17,$-13.43,"=stockhistory(B53,A53,,0,0,1)"," "," "," "
2024-09-13,SCM," ",$-85.03,$506.54," ",3800.0,$-50593.66,$-13.31,"=stockhistory(B54,A54,,0,0,1)"," "," "," "
2024-09-23,SCM," ",$-70.27," "," ",3800.0,$-50663.93,$-13.33,"=stockhistory(B55,A55,,0,0,1)"," "," "," "
2024-10-01,SCM," ",$-56.29," "," ",3800.0,$-50720.22,$-13.35,"=stockhistory(B56,A56,,0,0,1)"," "," "," "
2024-10-15,SCM," ",$-98.62,$506.54," ",3800.0,$-50312.30,$-13.24,"=stockhistory(B57,A57,,0,0,1)"," "," "," "
2024-11-01,SCM," ",$-118.79," "," ",3800.0,$-50431.10,$-13.27,"=stockhistory(B58,A58,,0,0,1)"," "," "," "
2024-11-15,SCM," ",$-98.06,$506.54," ",3800.0,$-50022.62,$-13.16,"=stockhistory(B59,A59,,0,0,1)"," "," "," "
2024-12-01,SCM," ",$-111.16," "," ",3800.0,$-50133.78,$-13.19,"=stockhistory(B60,A60,,0,0,1)"," "," "," "
2024-12-13,SCM," ",$-83.56,$506.54," ",3800.0,$-49710.79,$-13.08,"=stockhistory(B61,A61,,0,0,1)"," "," "," "
