Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-04-06,CGBD,$-6600.00," "," "," ",500.0,$-6600.00,$-13.20,"=stockhistory(B2,A2,,0,0,1)",500.0," ",$-13.20
2023-04-10,CGBD,$-3320.00,$-3.67," "," ",750.0,$-9923.67,$-13.23,"=stockhistory(B3,A3,,0,0,1)",250.0," ",$-13.28
2023-05-01,CGBD," ",$-28.94," "," ",750.0,$-9952.61,$-13.27,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2023-06-01,CGBD," ",$-42.85," "," ",750.0,$-9995.46,$-13.33,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2023-07-01,CGBD," ",$-41.65," "," ",750.0,$-10037.11,$-13.38,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-07-18,CGBD," ",$-23.70,$330.00," ",750.0,$-9730.81,$-12.97,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-08-01,CGBD," ",$-18.92," "," ",750.0,$-9749.73,$-13.00,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-08-02,CGBD,$7764.96,$-1.35," "," ",250.0,$-1986.12,$-7.94,"=stockhistory(B9,A9,,0,0,1)"," ",500.0,$-15.53
2023-08-04,CGBD,$-15.50,$-0.55," "," ",251.0,$-2002.18,$-7.98,"=stockhistory(B10,A10,,0,0,1)",1.0," ",$-15.50
2023-08-09,CGBD,$-1525.00,$-1.39," "," ",351.0,$-3528.57,$-10.05,"=stockhistory(B11,A11,,0,0,1)",100.0," ",$-15.25
2023-08-11,CGBD,$-15416.65,$-0.98," "," ",1362.0,$-18946.20,$-13.91,"=stockhistory(B12,A12,,0,0,1)",1011.0," ",$-15.25
2023-08-15,CGBD,$-15000.00,$-10.53," "," ",2362.0,$-33956.72,$-14.38,"=stockhistory(B13,A13,,0,0,1)",1000.0," ",$-15.00
2023-08-21,CGBD,$-2079.66,$-28.30," "," ",2500.0,$-36064.68,$-14.43,"=stockhistory(B14,A14,,0,0,1)",138.0," ",$-15.07
2023-08-22,CGBD,$-1463.71,$-5.01," "," ",2600.0,$-37533.40,$-14.44,"=stockhistory(B15,A15,,0,0,1)",100.0," ",$-14.64
2023-09-01,CGBD," ",$-52.13," "," ",2600.0,$-37585.53,$-14.46,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2023-09-05,CGBD,$-13401.00,$-20.88," "," ",3500.0,$-51007.41,$-14.57,"=stockhistory(B17,A17,,0,0,1)",900.0," ",$-14.89
2023-10-01,CGBD," ",$-184.19," "," ",3500.0,$-51191.60,$-14.63,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2023-10-17,CGBD," ",$-113.76,$1540.00," ",3500.0,$-49765.36,$-14.22,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2023-11-01,CGBD," ",$-103.68," "," ",3500.0,$-49869.04,$-14.25,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2023-12-01,CGBD," ",$-207.79," "," ",3500.0,$-50076.83,$-14.31,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2024-01-01,CGBD," ",$-215.61," "," ",3500.0,$-50292.44,$-14.37,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2024-01-04,CGBD," ",$-20.96," ",$614.85,3500.0,$-49698.54,$-14.20,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2024-01-05,CGBD," ",$-6.90," ",$-250.13,3500.0,$-49955.57,$-14.27,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2024-01-18,CGBD," ",$-90.20,$1540.00,$2058.06,3500.0,$-46447.71,$-13.27,"=stockhistory(B25,A25,,0,0,1)"," "," "," "
2024-01-22,CGBD,$14797.47,$-25.80," ",$1096.62,2513.0,$-30579.42,$-12.17,"=stockhistory(B26,A26,,0,0,1)",13.0,1000.0,$-14.99
2024-02-01,CGBD," ",$-42.47," "," ",2513.0,$-30621.90,$-12.19,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2024-02-12,CGBD,$194.22,$-46.78," "," ",2500.0,$-30474.46,$-12.19,"=stockhistory(B28,A28,,0,0,1)"," ",13.0,$-14.94
2024-02-14,CGBD," ",$-8.47," ",$2143.20,2500.0,$-28339.72,$-11.34,"=stockhistory(B29,A29,,0,0,1)"," "," "," "
2024-02-15,CGBD,$-11250.00,$-3.94," "," ",3000.0,$-39593.66,$-13.20,"=stockhistory(B30,A30,,0,0,1)",500.0," ",$-22.50
2024-02-23,CGBD,$7749.93,$-43.99," "," ",2500.0,$-31887.72,$-12.76,"=stockhistory(B31,A31,,0,0,1)"," ",500.0,$-15.50
2024-03-01,CGBD," ",$-31.00," "," ",2500.0,$-31918.73,$-12.77,"=stockhistory(B32,A32,,0,0,1)"," "," "," "
2024-03-07,CGBD," ",$-26.60," ",$5253.08,2500.0,$-26692.24,$-10.68,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
2024-03-26,CGBD,$29999.76,$-70.44," "," ",100.0,$3237.08,$32.37,"=stockhistory(B34,A34,,0,0,1)"," ",2400.0,$-12.50
2024-03-27,CGBD,$1249.99,$0.45," "," "," ",$4487.52,,"=stockhistory(B35,A35,,0,0,1)"," ",100.0,$-12.50
2024-04-01,CGBD," ",$3.12," "," "," ",$4490.63,,"=stockhistory(B36,A36,,0,0,1)"," "," "," "
2024-05-01,CGBD," ",$18.71," "," "," ",$4509.34,,"=stockhistory(B37,A37,,0,0,1)"," "," "," "
2024-06-01,CGBD," ",$19.42," "," "," ",$4528.76,,"=stockhistory(B38,A38,,0,0,1)"," "," "," "
2024-07-01,CGBD," ",$18.87," "," "," ",$4547.63,,"=stockhistory(B39,A39,,0,0,1)"," "," "," "
2024-08-01,CGBD," ",$19.58," "," "," ",$4567.21,,"=stockhistory(B40,A40,,0,0,1)"," "," "," "
2024-09-01,CGBD," ",$19.66," "," "," ",$4586.87,,"=stockhistory(B41,A41,,0,0,1)"," "," "," "
2024-10-01,CGBD," ",$19.11," "," "," ",$4605.99,,"=stockhistory(B42,A42,,0,0,1)"," "," "," "
2024-11-01,CGBD," ",$19.83," "," "," ",$4625.82,,"=stockhistory(B43,A43,,0,0,1)"," "," "," "
2024-12-01,CGBD," ",$19.27," "," "," ",$4645.09,,"=stockhistory(B44,A44,,0,0,1)"," "," "," "
2025-01-01,CGBD," ",$20.00," "," "," ",$4665.09,,"=stockhistory(B45,A45,,0,0,1)"," "," "," "
2025-02-01,CGBD," ",$20.09," "," "," ",$4685.18,,"=stockhistory(B46,A46,,0,0,1)"," "," "," "
2025-03-01,CGBD," ",$18.22," "," "," ",$4703.40,,"=stockhistory(B47,A47,,0,0,1)"," "," "," "
2025-04-01,CGBD," ",$20.25," "," "," ",$4723.65,,"=stockhistory(B48,A48,,0,0,1)"," "," "," "
2025-04-08,CGBD," ",$4.59," "," "," ",$4728.24,,"=stockhistory(B49,A49,,0,0,1)"," "," "," "
2025-05-01,CGBD," ",$15.10," "," "," ",$4743.34,,"=stockhistory(B50,A50,,0,0,1)"," "," "," "
2025-06-01,CGBD," ",$20.42," "," "," ",$4763.77,,"=stockhistory(B51,A51,,0,0,1)"," "," "," "
2025-07-01,CGBD," ",$19.85," "," "," ",$4783.62,,"=stockhistory(B52,A52,,0,0,1)"," "," "," "
2025-08-01,CGBD," ",$20.60," "," "," ",$4804.21,,"=stockhistory(B53,A53,,0,0,1)"," "," "," "
2025-09-01,CGBD," ",$20.68," "," "," ",$4824.90,,"=stockhistory(B54,A54,,0,0,1)"," "," "," "
2025-10-01,CGBD," ",$20.10," "," "," ",$4845.00,,"=stockhistory(B55,A55,,0,0,1)"," "," "," "
2025-11-01,CGBD," ",$20.86," "," "," ",$4865.86,,"=stockhistory(B56,A56,,0,0,1)"," "," "," "
2025-12-01,CGBD," ",$20.27," "," "," ",$4886.14,,"=stockhistory(B57,A57,,0,0,1)"," "," "," "
