Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-07-27,FDUS,$-887.95," "," "," ",43.0,$-887.95,$-20.65,"=stockhistory(B2,A2,,0,0,1)",43.0," ",$-20.65
2023-07-28,FDUS,$-227.37,$-0.12," "," ",54.0,$-1115.44,$-20.66,"=stockhistory(B3,A3,,0,0,1)",11.0," ",$-20.67
2023-07-31,FDUS,$-459.36,$-0.46," "," ",76.0,$-1575.27,$-20.73,"=stockhistory(B4,A4,,0,0,1)",22.0," ",$-20.88
2023-08-01,FDUS," ",$-0.22," "," ",76.0,$-1575.49,$-20.73,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2023-08-07,FDUS,$-679.80,$-1.31," "," ",109.0,$-2256.60,$-20.70,"=stockhistory(B6,A6,,0,0,1)",33.0," ",$-20.60
2023-08-16,FDUS,$-805.65,$-2.82," "," ",150.0,$-3065.07,$-20.43,"=stockhistory(B7,A7,,0,0,1)",41.0," ",$-19.65
2023-08-28,FDUS,$-1950.00,$-5.11," "," ",250.0,$-5020.18,$-20.08,"=stockhistory(B8,A8,,0,0,1)",100.0," ",$-19.50
2023-08-30,FDUS,$-4812.50,$-1.39," "," ",500.0,$-9834.07,$-19.67,"=stockhistory(B9,A9,,0,0,1)",250.0," ",$-19.25
2023-09-01,FDUS,$-1913.92,$-2.73," "," ",600.0,$-11750.73,$-19.58,"=stockhistory(B10,A10,,0,0,1)",100.0," ",$-19.14
2023-09-27,FDUS," ",$-42.43,$432.00," ",600.0,$-11361.16,$-18.94,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2023-10-01,FDUS," ",$-6.31," "," ",600.0,$-11367.47,$-18.95,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2023-11-01,FDUS," ",$-48.94," "," ",600.0,$-11416.41,$-19.03,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2023-12-01,FDUS," ",$-47.57," "," ",600.0,$-11463.98,$-19.11,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-12-27,FDUS," ",$-41.40,$480.00,$24.33,600.0,$-11001.05,$-18.34,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-01-01,FDUS," ",$-7.64," "," ",600.0,$-11008.69,$-18.35,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2024-01-04,FDUS," ",$-4.59," ",$58.65,600.0,$-10954.63,$-18.26,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-01-09,FDUS," ",$-7.61," ",$-10.03,600.0,$-10972.26,$-18.29,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-01-22,FDUS,$3667.00,$-19.81," "," ",413.0,$-7325.07,$-17.74,"=stockhistory(B19,A19,,0,0,1)",13.0,200.0,$-19.61
2024-01-29,FDUS," ",$-7.12," ",$273.64,413.0,$-7058.56,$-17.09,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2024-02-01,FDUS," ",$-2.94," "," ",413.0,$-7061.50,$-17.10,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2024-02-02,FDUS,$-2213.00,$-0.98," "," ",513.0,$-9275.48,$-18.08,"=stockhistory(B22,A22,,0,0,1)",100.0," ",$-22.13
2024-02-15,FDUS,$257.60,$-16.75," "," ",500.0,$-9034.63,$-18.07,"=stockhistory(B23,A23,,0,0,1)"," ",13.0,$-19.82
2024-02-16,FDUS,$-1969.00,$-1.25," ",$68.32,600.0,$-10936.56,$-18.23,"=stockhistory(B24,A24,,0,0,1)",100.0," ",$-19.69
2024-02-20,FDUS,$1962.98,$-6.08," "," ",500.0,$-8979.66,$-17.96,"=stockhistory(B25,A25,,0,0,1)"," ",100.0,$-19.63
2024-02-22,FDUS," ",$-2.49," ",$297.29,500.0,$-8684.86,$-17.37,"=stockhistory(B26,A26,,0,0,1)"," "," "," "
2024-03-01,FDUS," ",$-9.65," "," ",500.0,$-8694.51,$-17.39,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2024-03-18,FDUS,$9659.92,$-20.53," "," "," ",$944.88,,"=stockhistory(B28,A28,,0,0,1)"," ",500.0,$-19.32
2024-04-01,FDUS," ",$1.84," "," "," ",$946.72,,"=stockhistory(B29,A29,,0,0,1)"," "," "," "
2024-05-01,FDUS," ",$3.94," "," "," ",$950.66,,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2024-06-01,FDUS," ",$4.09," "," "," ",$954.76,,"=stockhistory(B31,A31,,0,0,1)"," "," "," "
2024-07-01,FDUS," ",$3.98," "," "," ",$958.73,,"=stockhistory(B32,A32,,0,0,1)"," "," "," "
2024-08-01,FDUS," ",$4.13," "," "," ",$962.86,,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
2024-09-01,FDUS," ",$4.15," "," "," ",$967.01,,"=stockhistory(B34,A34,,0,0,1)"," "," "," "
2024-10-01,FDUS," ",$4.03," "," "," ",$971.04,,"=stockhistory(B35,A35,,0,0,1)"," "," "," "
2024-11-01,FDUS," ",$4.18," "," "," ",$975.22,,"=stockhistory(B36,A36,,0,0,1)"," "," "," "
2024-12-01,FDUS," ",$4.06," "," "," ",$979.28,,"=stockhistory(B37,A37,,0,0,1)"," "," "," "
2025-01-01,FDUS," ",$4.22," "," "," ",$983.50,,"=stockhistory(B38,A38,,0,0,1)"," "," "," "
2025-02-01,FDUS," ",$4.23," "," "," ",$987.73,,"=stockhistory(B39,A39,,0,0,1)"," "," "," "
2025-03-01,FDUS," ",$3.84," "," "," ",$991.57,,"=stockhistory(B40,A40,,0,0,1)"," "," "," "
2025-04-01,FDUS," ",$4.27," "," "," ",$995.84,,"=stockhistory(B41,A41,,0,0,1)"," "," "," "
2025-04-08,FDUS," ",$0.97," "," "," ",$996.81,,"=stockhistory(B42,A42,,0,0,1)"," "," "," "
2025-05-01,FDUS," ",$3.18," "," "," ",$1000.00,,"=stockhistory(B43,A43,,0,0,1)"," "," "," "
2025-06-01,FDUS," ",$4.31," "," "," ",$1004.30,,"=stockhistory(B44,A44,,0,0,1)"," "," "," "
2025-07-01,FDUS," ",$4.18," "," "," ",$1008.49,,"=stockhistory(B45,A45,,0,0,1)"," "," "," "
2025-08-01,FDUS," ",$4.34," "," "," ",$1012.83,,"=stockhistory(B46,A46,,0,0,1)"," "," "," "
2025-09-01,FDUS," ",$4.36," "," "," ",$1017.19,,"=stockhistory(B47,A47,,0,0,1)"," "," "," "
2025-10-01,FDUS," ",$4.24," "," "," ",$1021.43,,"=stockhistory(B48,A48,,0,0,1)"," "," "," "
2025-11-01,FDUS," ",$4.40," "," "," ",$1025.82,,"=stockhistory(B49,A49,,0,0,1)"," "," "," "
2025-12-01,FDUS," ",$4.27," "," "," ",$1030.10,,"=stockhistory(B50,A50,,0,0,1)"," "," "," "
2026-01-01,FDUS," ",$4.44," "," "," ",$1034.53,,"=stockhistory(B51,A51,,0,0,1)"," "," "," "
2026-02-01,FDUS," ",$4.45," "," "," ",$1038.99,,"=stockhistory(B52,A52,,0,0,1)"," "," "," "
2026-03-01,FDUS," ",$4.04," "," "," ",$1043.03,,"=stockhistory(B53,A53,,0,0,1)"," "," "," "
2026-04-01,FDUS," ",$4.49," "," "," ",$1047.52,,"=stockhistory(B54,A54,,0,0,1)"," "," "," "
2026-04-08,FDUS," ",$1.02," "," "," ",$1048.54,,"=stockhistory(B55,A55,,0,0,1)"," "," "," "
Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
-,-,-,-,-,-,-,-,-,-
Date,Symbol,deltaShares,netShares,deltaBasis,netBasis,deltaInterest,netInterest,deltaDividend,netDividend,deltaPremium,netPremium
2023-08-01,FDUS,76.0,76.0,$-1575.49,$-1575.49,$-0.81,$-0.81," "," "," "," ",$-20.73,"=stockhistory(B56,A56,,0,0,1)"," "," "," "
2023-09-01,FDUS,524.0,600.0,$-10175.24,$-11750.73,$-13.37,$-14.18," "," "," "," ",$-19.58,"=stockhistory(B57,A57,,0,0,1)",100.0," ",$-19.14
2023-10-01,FDUS," ",600.0,$383.26,$-11367.47,$-48.74,$-62.92,$432.00,$432.00," "," ",$-18.95,"=stockhistory(B58,A58,,0,0,1)"," "," "," "
2023-11-01,FDUS," ",600.0,$-48.94,$-11416.41,$-48.94,$-111.86," ",$432.00," "," ",$-19.03,"=stockhistory(B59,A59,,0,0,1)"," "," "," "
2023-12-01,FDUS," ",600.0,$-47.57,$-11463.98,$-47.57,$-159.43," ",$432.00," "," ",$-19.11,"=stockhistory(B60,A60,,0,0,1)"," "," "," "
2024-01-01,FDUS," ",600.0,$455.29,$-11008.69,$-49.04,$-208.47,$480.00,$912.00,$24.33,$24.33,$-18.35,"=stockhistory(B61,A61,,0,0,1)"," "," "," "
2024-02-01,FDUS,-187.0,413.0,$3947.19,$-7061.50,$-42.07,$-250.54," ",$912.00,$322.26,$346.59,$-17.10,"=stockhistory(B62,A62,,0,0,1)"," "," "," "
2024-03-01,FDUS,87.0,500.0,$-1633.01,$-8694.51,$-37.20,$-287.74," ",$912.00,$365.61,$712.20,$-17.39,"=stockhistory(B63,A63,,0,0,1)"," "," "," "
2024-04-01,FDUS,-500.0," ",$9641.23,$946.72,$-18.69,$-306.43," ",$912.00," ",$712.20,,"=stockhistory(B64,A64,,0,0,1)"," "," "," "
2024-05-01,FDUS," "," ",$3.94,$950.66,$3.94,$-302.49," ",$912.00," ",$712.20,,"=stockhistory(B65,A65,,0,0,1)"," "," "," "
2024-06-01,FDUS," "," ",$4.09,$954.76,$4.09,$-298.39," ",$912.00," ",$712.20,,"=stockhistory(B66,A66,,0,0,1)"," "," "," "
2024-07-01,FDUS," "," ",$3.98,$958.73,$3.98,$-294.42," ",$912.00," ",$712.20,,"=stockhistory(B67,A67,,0,0,1)"," "," "," "
2024-08-01,FDUS," "," ",$4.13,$962.86,$4.13,$-290.29," ",$912.00," ",$712.20,,"=stockhistory(B68,A68,,0,0,1)"," "," "," "
2024-09-01,FDUS," "," ",$4.15,$967.01,$4.15,$-286.14," ",$912.00," ",$712.20,,"=stockhistory(B69,A69,,0,0,1)"," "," "," "
2024-10-01,FDUS," "," ",$4.03,$971.04,$4.03,$-282.11," ",$912.00," ",$712.20,,"=stockhistory(B70,A70,,0,0,1)"," "," "," "
2024-11-01,FDUS," "," ",$4.18,$975.22,$4.18,$-277.93," ",$912.00," ",$712.20,,"=stockhistory(B71,A71,,0,0,1)"," "," "," "
2024-12-01,FDUS," "," ",$4.06,$979.28,$4.06,$-273.87," ",$912.00," ",$712.20,,"=stockhistory(B72,A72,,0,0,1)"," "," "," "
2025-01-01,FDUS," "," ",$4.22,$983.50,$4.22,$-269.65," ",$912.00," ",$712.20,,"=stockhistory(B73,A73,,0,0,1)"," "," "," "
2025-02-01,FDUS," "," ",$4.23,$987.73,$4.23,$-265.42," ",$912.00," ",$712.20,,"=stockhistory(B74,A74,,0,0,1)"," "," "," "
2025-03-01,FDUS," "," ",$3.84,$991.57,$3.84,$-261.58," ",$912.00," ",$712.20,,"=stockhistory(B75,A75,,0,0,1)"," "," "," "
2025-04-01,FDUS," "," ",$4.27,$995.84,$4.27,$-257.31," ",$912.00," ",$712.20,,"=stockhistory(B76,A76,,0,0,1)"," "," "," "
2025-05-01,FDUS," "," ",$4.15,$1000.00,$4.15,$-253.15," ",$912.00," ",$712.20,,"=stockhistory(B77,A77,,0,0,1)"," "," "," "
2025-06-01,FDUS," "," ",$4.31,$1004.30,$4.31,$-248.85," ",$912.00," ",$712.20,,"=stockhistory(B78,A78,,0,0,1)"," "," "," "
2025-07-01,FDUS," "," ",$4.18,$1008.49,$4.18,$-244.66," ",$912.00," ",$712.20,,"=stockhistory(B79,A79,,0,0,1)"," "," "," "
2025-08-01,FDUS," "," ",$4.34,$1012.83,$4.34,$-240.32," ",$912.00," ",$712.20,,"=stockhistory(B80,A80,,0,0,1)"," "," "," "
2025-09-01,FDUS," "," ",$4.36,$1017.19,$4.36,$-235.96," ",$912.00," ",$712.20,,"=stockhistory(B81,A81,,0,0,1)"," "," "," "
2025-10-01,FDUS," "," ",$4.24,$1021.43,$4.24,$-231.72," ",$912.00," ",$712.20,,"=stockhistory(B82,A82,,0,0,1)"," "," "," "
2025-11-01,FDUS," "," ",$4.40,$1025.82,$4.40,$-227.33," ",$912.00," ",$712.20,,"=stockhistory(B83,A83,,0,0,1)"," "," "," "
2025-12-01,FDUS," "," ",$4.27,$1030.10,$4.27,$-223.05," ",$912.00," ",$712.20,,"=stockhistory(B84,A84,,0,0,1)"," "," "," "
2026-01-01,FDUS," "," ",$4.44,$1034.53,$4.44,$-218.62," ",$912.00," ",$712.20,,"=stockhistory(B85,A85,,0,0,1)"," "," "," "
2026-02-01,FDUS," "," ",$4.45,$1038.99,$4.45,$-214.16," ",$912.00," ",$712.20,,"=stockhistory(B86,A86,,0,0,1)"," "," "," "
2026-03-01,FDUS," "," ",$4.04,$1043.03,$4.04,$-210.12," ",$912.00," ",$712.20,,"=stockhistory(B87,A87,,0,0,1)"," "," "," "
2026-04-01,FDUS," "," ",$4.49,$1047.52,$4.49,$-205.63," ",$912.00," ",$712.20,,"=stockhistory(B88,A88,,0,0,1)"," "," "," "
Date,Symbol,deltaShares,netShares,deltaBasis,netBasis,deltaInterest,netInterest,deltaDividend,netDividend,deltaPremium,netPremium
