Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-04-03,MAIN,$-3945.00," "," "," ",100.0,$-3945.00,$-39.45,"=stockhistory(B2,A2,,0,0,1)",100.0," ",$-39.45
2023-04-14,MAIN," ",$-6.03,$22.50," ",100.0,$-3928.53,$-39.29,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2023-05-01,MAIN," ",$-9.28," "," ",100.0,$-3937.80,$-39.38,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2023-05-02,MAIN,$-3014.78,$-0.55," "," ",175.0,$-6953.13,$-39.73,"=stockhistory(B5,A5,,0,0,1)",75.0," ",$-40.20
2023-05-15,MAIN," ",$-12.55,$39.38," ",175.0,$-6926.30,$-39.58,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-06-01,MAIN," ",$-16.35," "," ",175.0,$-6942.66,$-39.67,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-06-15,MAIN," ",$-13.50,$39.38," ",175.0,$-6916.78,$-39.52,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-06-28,MAIN," ",$-12.49,$39.38," ",175.0,$-6889.89,$-39.37,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2023-07-01,MAIN," ",$-2.87," "," ",175.0,$-6892.76,$-39.39,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2023-07-14,MAIN," ",$-12.45,$40.25," ",175.0,$-6864.95,$-39.23,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2023-07-24,MAIN,$-3129.00,$-9.53," "," ",250.0,$-10003.49,$-40.01,"=stockhistory(B12,A12,,0,0,1)",75.0," ",$-41.72
2023-07-28,MAIN,$-423.00,$-5.56," "," ",260.0,$-10432.04,$-40.12,"=stockhistory(B13,A13,,0,0,1)",10.0," ",$-42.30
2023-08-01,MAIN," ",$-5.80," "," ",260.0,$-10437.84,$-40.15,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-08-04,MAIN,$-10140.00,$-4.35," "," ",500.0,$-20582.19,$-41.16,"=stockhistory(B15,A15,,0,0,1)",240.0," ",$-42.25
2023-08-15,MAIN," ",$-31.45,$115.00," ",500.0,$-20498.63,$-41.00,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2023-08-17,MAIN,$-2000.00,$-5.69," "," ",550.0,$-22504.33,$-40.92,"=stockhistory(B17,A17,,0,0,1)",50.0," ",$-40.00
2023-08-28,MAIN,$-7998.00,$-34.38," "," ",750.0,$-30536.71,$-40.72,"=stockhistory(B18,A18,,0,0,1)",200.0," ",$-39.99
2023-09-01,MAIN," ",$-16.96," "," ",750.0,$-30553.67,$-40.74,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2023-09-06,MAIN,$-10000.00,$-21.22," "," ",1000.0,$-40574.89,$-40.57,"=stockhistory(B20,A20,,0,0,1)",250.0," ",$-40.00
2023-09-12,MAIN,$-8152.00,$-33.81," "," ",1200.0,$-48760.70,$-40.63,"=stockhistory(B21,A21,,0,0,1)",200.0," ",$-40.76
2023-09-15,MAIN," ",$-20.32,$230.00," ",1200.0,$-48551.02,$-40.46,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2023-09-27,MAIN," ",$-80.92,$330.00," ",1200.0,$-48301.94,$-40.25,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2023-10-01,MAIN," ",$-26.83," "," ",1200.0,$-48328.77,$-40.27,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2023-10-12,MAIN,$-1987.50,$-73.84," "," ",1250.0,$-50390.11,$-40.31,"=stockhistory(B25,A25,,0,0,1)",50.0," ",$-39.75
2023-10-13,MAIN," ",$-7.00,$282.00," ",1250.0,$-50115.11,$-40.09,"=stockhistory(B26,A26,,0,0,1)"," "," "," "
2023-11-01,MAIN," ",$-132.25," "," ",1250.0,$-50247.36,$-40.20,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2023-11-15,MAIN," ",$-97.70,$293.75," ",1250.0,$-50051.31,$-40.04,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
2023-11-21,MAIN,$-1025.00,$-41.71," ",$196.65,1275.0,$-50921.37,$-39.94,"=stockhistory(B29,A29,,0,0,1)",25.0," ",$-41.00
2023-12-01,MAIN," ",$-70.72," "," ",1275.0,$-50992.09,$-39.99,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2023-12-15,MAIN," ",$-99.15,$299.63," ",1275.0,$-50791.61,$-39.84,"=stockhistory(B31,A31,,0,0,1)"," "," "," "
2023-12-19,MAIN,$-1075.00,$-28.22," "," ",1300.0,$-51894.83,$-39.92,"=stockhistory(B32,A32,,0,0,1)",25.0," ",$-43.00
2023-12-27,MAIN," ",$-57.66,$350.63," ",1300.0,$-51601.86,$-39.69,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
2024-01-01,MAIN," ",$-35.83," "," ",1300.0,$-51637.70,$-39.72,"=stockhistory(B34,A34,,0,0,1)"," "," "," "
2024-01-12,MAIN," ",$-78.89,$312.00," ",1300.0,$-51404.59,$-39.54,"=stockhistory(B35,A35,,0,0,1)"," "," "," "
2024-01-23,MAIN,$-1038.22,$-78.53," "," ",1323.0,$-52521.34,$-39.70,"=stockhistory(B36,A36,,0,0,1)",23.0," ",$-45.14
2024-01-31,MAIN," ",$-58.36," ",$348.65,1323.0,$-52231.05,$-39.48,"=stockhistory(B37,A37,,0,0,1)"," "," "," "
2024-02-01,MAIN," ",$-7.25," "," ",1323.0,$-52238.31,$-39.48,"=stockhistory(B38,A38,,0,0,1)"," "," "," "
2024-02-15,MAIN,$1031.08,$-101.57,$317.52," ",1300.0,$-50991.28,$-39.22,"=stockhistory(B39,A39,,0,0,1)"," ",23.0,$-44.83
2024-03-01,MAIN," ",$-106.23," "," ",1300.0,$-51097.51,$-39.31,"=stockhistory(B40,A40,,0,0,1)"," "," "," "
2024-03-15,MAIN," ",$-99.36,$312.00," ",1300.0,$-50884.87,$-39.14,"=stockhistory(B41,A41,,0,0,1)"," "," "," "
2024-03-19,MAIN," ",$-28.27," "," ",1300.0,$-50913.14,$-39.16,"=stockhistory(B42,A42,,0,0,1)"," "," "," "
