Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2024-01-19,TQQQ,$-656.76," "," "," ",12.0,$-656.76,$-54.73,"=stockhistory(B2,A2,,0,0,1)",12.0," ",$-54.73
2024-01-23,TQQQ," ",$-0.36," ",$48.65,12.0,$-608.47,$-50.71,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2024-01-25,TQQQ," ",$-0.17," ",$148.60,12.0,$-460.04,$-38.34,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2024-02-01,TQQQ," ",$-0.45," "," ",12.0,$-460.49,$-38.37,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2024-02-05,TQQQ,$-11204.00,$-0.26," ",$382.65,212.0,$-11282.10,$-53.22,"=stockhistory(B6,A6,,0,0,1)",200.0," ",$-56.02
2024-02-12,TQQQ,$10999.91,$-10.97," "," ",12.0,$-293.16,$-24.43,"=stockhistory(B7,A7,,0,0,1)"," ",200.0,$-55.00
2024-02-15,TQQQ,$707.36,$-0.12," "," "," ",$414.08,,"=stockhistory(B8,A8,,0,0,1)"," ",12.0,$-58.95
2024-03-01,TQQQ," ",$0.86," "," "," ",$414.94,,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2024-04-01,TQQQ," ",$1.79," "," "," ",$416.73,,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2024-05-01,TQQQ," ",$1.74," "," "," ",$418.47,,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2024-06-01,TQQQ," ",$1.80," "," "," ",$420.27,,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2024-07-01,TQQQ," ",$1.75," "," "," ",$422.02,,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2024-08-01,TQQQ," ",$1.82," "," "," ",$423.84,,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2024-09-01,TQQQ," ",$1.82," "," "," ",$425.66,,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-10-01,TQQQ," ",$1.77," "," "," ",$427.44,,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
