Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-04-06,WPC,$-1470.00," "," "," ",20.0,$-1470.00,$-73.50,"=stockhistory(B2,A2,,0,0,1)",20.0," ",$-73.50
2023-04-10,WPC,$-11432.50,$-0.82," "," ",175.0,$-12903.32,$-73.73,"=stockhistory(B3,A3,,0,0,1)",155.0," ",$-73.76
2023-04-19,WPC,$-5399.43,$-16.13," "," ",250.0,$-18318.88,$-73.28,"=stockhistory(B4,A4,,0,0,1)",75.0," ",$-71.99
2023-04-24,WPC,$-14620.00,$-12.72," "," ",450.0,$-32951.60,$-73.23,"=stockhistory(B5,A5,,0,0,1)",200.0," ",$-73.10
2023-04-28,WPC,$11099.91,$-18.31," "," ",300.0,$-21869.99,$-72.90,"=stockhistory(B6,A6,,0,0,1)"," ",150.0,$-74.00
2023-05-01,WPC," ",$-9.11," "," ",300.0,$-21879.11,$-72.93,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-06-01,WPC," ",$-94.20," "," ",300.0,$-21973.31,$-73.24,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-06-06,WPC,$-3510.25,$-15.26," "," ",350.0,$-25498.82,$-72.85,"=stockhistory(B9,A9,,0,0,1)",50.0," ",$-70.21
2023-06-23,WPC,$-6650.00,$-60.21," "," ",450.0,$-32209.02,$-71.58,"=stockhistory(B10,A10,,0,0,1)",100.0," ",$-66.50
2023-06-28,WPC,$-10200.00,$-22.37," "," ",600.0,$-42431.39,$-70.72,"=stockhistory(B11,A11,,0,0,1)",150.0," ",$-68.00
2023-07-01,WPC," ",$-17.68," "," ",600.0,$-42449.07,$-70.75,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2023-07-03,WPC,$-5062.50,$-11.79," "," ",675.0,$-47523.36,$-70.40,"=stockhistory(B13,A13,,0,0,1)",75.0," ",$-67.50
2023-07-07,WPC,$-5098.49,$-26.40," "," ",750.0,$-52648.25,$-70.20,"=stockhistory(B14,A14,,0,0,1)",75.0," ",$-67.98
2023-07-14,WPC,$-6900.00,$-51.19,$641.40," ",850.0,$-58958.04,$-69.36,"=stockhistory(B15,A15,,0,0,1)",100.0," ",$-69.00
2023-07-20,WPC,$-10575.00,$-49.13," "," ",1000.0,$-69582.17,$-69.58,"=stockhistory(B16,A16,,0,0,1)",150.0," ",$-70.50
2023-07-27,WPC,$-36070.00,$-67.65," "," ",1500.0,$-105719.82,$-70.48,"=stockhistory(B17,A17,,0,0,1)",500.0," ",$-72.14
2023-07-31,WPC,$-16875.00,$-58.73," "," ",1750.0,$-122653.55,$-70.09,"=stockhistory(B18,A18,,0,0,1)",250.0," ",$-67.50
2023-08-01,WPC," ",$-17.04," "," ",1750.0,$-122670.59,$-70.10,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2023-08-14,WPC,$-6518.16,$-221.49," "," ",1849.0,$-129410.24,$-69.99,"=stockhistory(B20,A20,,0,0,1)",99.0," ",$-65.84
2023-08-17,WPC,$-704.00,$-53.92," "," ",1860.0,$-130168.16,$-69.98,"=stockhistory(B21,A21,,0,0,1)",11.0," ",$-64.00
2023-09-01,WPC,$-9117.50,$-271.18," "," ",2000.0,$-139556.84,$-69.78,"=stockhistory(B22,A22,,0,0,1)",140.0," ",$-65.13
2023-09-06,WPC,$-885.78,$-96.91," "," ",2014.0,$-140539.54,$-69.78,"=stockhistory(B23,A23,,0,0,1)",14.0," ",$-63.27
2023-09-21,WPC,$-12239.60,$-292.79," "," ",2222.0,$-153071.93,$-68.89,"=stockhistory(B24,A24,,0,0,1)",208.0," ",$-58.84
2023-09-25,WPC,$-2850.00,$-85.04," "," ",2272.0,$-156006.97,$-68.67,"=stockhistory(B25,A25,,0,0,1)",50.0," ",$-57.00
2023-09-29,WPC,$-1350.00,$-86.67," "," ",2297.0,$-157443.64,$-68.54,"=stockhistory(B26,A26,,0,0,1)",25.0," ",$-54.00
2023-10-01,WPC," ",$-43.73," "," ",2297.0,$-157487.37,$-68.56,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2023-10-02,WPC,$-2662.50,$-21.87," "," ",2347.0,$-160171.74,$-68.25,"=stockhistory(B28,A28,,0,0,1)",50.0," ",$-53.25
2023-10-03,WPC,$-2600.00,$-22.25," "," ",2397.0,$-162793.99,$-67.92,"=stockhistory(B29,A29,,0,0,1)",50.0," ",$-52.00
