Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-03-30,hsa," "," "," "," "," "," ",,"=stockhistory(B2,A2,,0,0,1)"," "," "," "
2023-04-01,hsa," "," "," "," "," "," ",,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2023-04-03,hsa," "," "," "," "," "," ",,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2023-04-06,hsa,$-4852.14," "," "," ",72.0,$-4852.14,$-67.39,"=stockhistory(B5,A5,,0,0,1)",72.0," ",$-67.39
2023-04-10,hsa," ",$-2.70," "," ",72.0,$-4854.84,$-67.43,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-04-12,hsa," ",$-1.35," "," ",72.0,$-4856.18,$-67.45,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-04-17,hsa," ",$-3.37," "," ",72.0,$-4859.56,$-67.49,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-04-20,hsa,$-2216.33,$-2.02," "," ",222.0,$-7077.91,$-31.88,"=stockhistory(B9,A9,,0,0,1)",150.0," ",$-14.78
2023-04-21,hsa,$-7750.00,$-0.98," "," ",297.0,$-14828.89,$-49.93,"=stockhistory(B10,A10,,0,0,1)",75.0," ",$-103.33
2023-04-24,hsa,$-1385.94,$-6.18," "," ",372.0,$-16221.01,$-43.60,"=stockhistory(B11,A11,,0,0,1)",100.0,25.0,$-18.48
2023-04-25,hsa,$-3646.00,$-2.25," "," ",422.0,$-19869.27,$-47.08,"=stockhistory(B12,A12,,0,0,1)",50.0," ",$-72.92
2023-04-28,hsa," ",$-8.28,$16.25," ",422.0,$-19861.29,$-47.06,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2023-05-01,hsa," ",$-8.28," "," ",422.0,$-19869.57,$-47.08,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-05-04,hsa," ",$-8.28,$51.80," ",422.0,$-19826.05,$-46.98,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-05-31,hsa," ",$-74.35,$16.25," ",422.0,$-19884.15,$-47.12,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2023-06-01,hsa," ",$-2.76," "," ",422.0,$-19886.91,$-47.13,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2023-06-06,hsa," ",$-13.81,$44.58," ",422.0,$-19856.14,$-47.05,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2023-06-20,hsa,$-1892.00,$-38.61," "," ",522.0,$-21786.75,$-41.74,"=stockhistory(B19,A19,,0,0,1)",100.0," ",$-18.92
2023-06-26,hsa," ",$-18.16,$99.71," ",522.0,$-21705.19,$-41.58,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2023-06-30,hsa," ",$-12.06,$16.25," ",522.0,$-21701.00,$-41.57,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2023-07-01,hsa," ",$-3.01," "," ",522.0,$-21704.02,$-41.58,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2023-07-07,hsa," ",$-18.09,$43.83," ",522.0,$-21678.27,$-41.53,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2023-07-17,hsa,$6758.74,$-30.11," "," ",400.0,$-14949.64,$-37.37,"=stockhistory(B24,A24,,0,0,1)"," ",122.0,$-55.40
2023-07-18,hsa,$11024.91,$-2.08," "," ",250.0,$-3926.81,$-15.71,"=stockhistory(B25,A25,,0,0,1)"," ",150.0,$-73.50
2023-07-24,hsa,$-4938.50,$-3.27," "," ",600.0,$-8868.58,$-14.78,"=stockhistory(B26,A26,,0,0,1)",350.0," ",$-14.11
2023-07-31,hsa," ",$-8.62,$16.25," ",600.0,$-8860.95,$-14.77,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2023-08-01,hsa," ",$-1.23," "," ",600.0,$-8862.18,$-14.77,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
2023-08-09,hsa,$-3589.10,$-9.85," "," ",610.0,$-12461.13,$-20.43,"=stockhistory(B29,A29,,0,0,1)",10.0," ",$-358.91
2023-08-10,hsa,$-1785.00,$-1.73," "," ",615.0,$-14247.86,$-23.17,"=stockhistory(B30,A30,,0,0,1)",5.0," ",$-357.00
2023-08-17,hsa,$-1770.00,$-13.85," "," ",620.0,$-16031.71,$-25.86,"=stockhistory(B31,A31,,0,0,1)",5.0," ",$-354.00
2023-08-31,hsa," ",$-31.17,$62.50," ",620.0,$-16000.39,$-25.81,"=stockhistory(B32,A32,,0,0,1)"," "," "," "
2023-09-01,hsa," ",$-2.22,$26.25," ",620.0,$-15976.36,$-25.77,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
