Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2024-03-18,PLTR,$-4682.00," "," ",$180.65,200.0,$-4501.35,$-22.51,"=stockhistory(B2,A2,,0,0,1)",200.0," ",$-23.41
2024-03-25,PLTR,$-19505.04,$-10.57," ",$838.24,1000.0,$-23178.72,$-23.18,"=stockhistory(B3,A3,,0,0,1)",1000.0,200.0,$-24.38
2024-04-01,PLTR," ",$-54.42," ",$223.23,1000.0,$-23009.91,$-23.01,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2024-04-03,PLTR," ",$-15.44," ",$192.96,1000.0,$-22832.39,$-22.83,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2024-04-10,PLTR," ",$-53.61," ",$122.96,1000.0,$-22763.03,$-22.76,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2024-04-17,PLTR," ",$-53.45," ",$232.96,1000.0,$-22583.52,$-22.58,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2024-04-25,PLTR,$-10385.00,$-60.60," ",$584.58,1500.0,$-32444.54,$-21.63,"=stockhistory(B8,A8,,0,0,1)",500.0," ",$-20.77
2024-05-01,PLTR," ",$-65.29," "," ",1500.0,$-32509.83,$-21.67,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2024-05-02,PLTR," ",$-10.90," ",$1792.94,1500.0,$-30727.80,$-20.49,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2024-05-06,PLTR,$10249.91,$-41.23," "," ",1000.0,$-20519.12,$-20.52,"=stockhistory(B11,A11,,0,0,1)"," ",500.0,$-20.50
2024-05-10,PLTR," ",$-27.53," ",$142.98,1000.0,$-20403.66,$-20.40,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2024-05-17,PLTR," ",$-47.91," ",$272.96,1000.0,$-20178.61,$-20.18,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2024-05-22,PLTR," ",$-33.84," ",$142.96,1000.0,$-20069.49,$-20.07,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2024-05-31,PLTR,$-21740.00,$-60.58," ",$233.23,2000.0,$-41636.85,$-20.82,"=stockhistory(B15,A15,,0,0,1)",1000.0," ",$-21.74
2024-06-01,PLTR," ",$-13.97," "," ",2000.0,$-41650.81,$-20.83,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2024-06-03,PLTR," ",$-27.94," "," ",2000.0,$-41678.75,$-20.84,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-06-04,PLTR," ",$-13.98," ",$193.23,2000.0,$-41499.50,$-20.75,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-06-06,PLTR," ",$-27.84," ",$-13.56,2000.0,$-41540.90,$-20.77,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
