Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2024-02-16,SOUN,$-6985.00," "," ",$2091.44,2000.0,$-4893.56,$-2.45,"=stockhistory(B2,A2,,0,0,1)",2000.0," ",$-3.49
2024-02-23,SOUN,$-7225.02,$-11.49," ",$833.07,3500.0,$-11297.00,$-3.23,"=stockhistory(B3,A3,,0,0,1)",2500.0,1000.0,$-4.82
2024-02-26,SOUN,$2499.98,$-11.37," "," ",2500.0,$-8808.39,$-3.52,"=stockhistory(B4,A4,,0,0,1)"," ",1000.0,$-2.50
2024-02-27,SOUN,$-32850.00,$-2.95," ",$14066.04,7500.0,$-27595.30,$-3.68,"=stockhistory(B5,A5,,0,0,1)",5000.0," ",$-6.57
2024-03-01,SOUN," ",$-27.77," "," ",7500.0,$-27623.07,$-3.68,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2024-03-04,SOUN,$9999.92,$-27.80," "," ",5000.0,$-17650.95,$-3.53,"=stockhistory(B7,A7,,0,0,1)"," ",2500.0,$-4.00
2024-03-13,SOUN,$-7320.00,$-53.28," ",$593.22,6000.0,$-24431.01,$-4.07,"=stockhistory(B8,A8,,0,0,1)",1000.0," ",$-7.32
2024-03-18,SOUN,$-41400.00,$-40.97," ",$7116.10,11000.0,$-58755.88,$-5.34,"=stockhistory(B9,A9,,0,0,1)",5000.0," ",$-8.28
2024-03-22,SOUN,$6049.95,$-78.83," ",$1164.53,10000.0,$-51620.23,$-5.16,"=stockhistory(B10,A10,,0,0,1)"," ",1000.0,$-6.05
2024-03-25,SOUN,$30199.75,$-51.94," ",$-951.34,5000.0,$-22423.77,$-4.48,"=stockhistory(B11,A11,,0,0,1)"," ",5000.0,$-6.04
2024-04-01,SOUN," ",$-52.65," "," ",5000.0,$-22476.41,$-4.50,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2024-04-09,SOUN,$-4909.75,$-60.31," ",$153.23,6000.0,$-27293.25,$-4.55,"=stockhistory(B13,A13,,0,0,1)",1000.0," ",$-4.91
2024-04-15,SOUN," ",$-54.93," "," ",6000.0,$-27348.17,$-4.56,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2024-04-17,SOUN," ",$-18.35," ",$243.23,6000.0,$-27123.29,$-4.52,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-04-19,SOUN,$-3790.00,$-18.20," ",$883.22,7000.0,$-30048.27,$-4.29,"=stockhistory(B16,A16,,0,0,1)",1000.0," ",$-3.79
2024-05-01,SOUN," ",$-120.94," "," ",7000.0,$-30169.21,$-4.31,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-05-02,SOUN,$2999.97,$-10.12," "," ",6000.0,$-27179.36,$-4.53,"=stockhistory(B18,A18,,0,0,1)"," ",1000.0,$-3.00
2024-05-13,SOUN,$4999.96,$-100.28," "," ",5000.0,$-22279.68,$-4.46,"=stockhistory(B19,A19,,0,0,1)"," ",1000.0,$-5.00
2024-06-01,SOUN," ",$-141.99," "," ",5000.0,$-22421.67,$-4.48,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2024-06-18,SOUN," ",$-127.85," ",$-5.03,5000.0,$-22554.55,$-4.51,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2024-06-21,SOUN," ",$-22.70," ",$-190.51,5000.0,$-22767.75,$-4.55,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2024-06-25,SOUN," ",$-30.55," ",$189.46,5000.0,$-22608.84,$-4.52,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2024-06-28,SOUN," ",$-22.75," ",$1864.76,5000.0,$-20766.83,$-4.15,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2024-07-01,SOUN," ",$-20.90," "," ",5000.0,$-20787.73,$-4.16,"=stockhistory(B25,A25,,0,0,1)"," "," "," "
2024-07-17,SOUN," ",$-111.56," ",$1232.04,5000.0,$-19667.25,$-3.93,"=stockhistory(B26,A26,,0,0,1)"," "," "," "
