Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2024-02-12,TQQQ,$-29765.00," "," ",$1511.60,500.0,$-28253.40,$-56.51,"=stockhistory(B2,A2,,0,0,1)",500.0," ",$-59.53
2024-02-15,TQQQ," ",$-28.43," ",$68.23,500.0,$-28213.60,$-56.43,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2024-02-20,TQQQ," ",$-47.32," ",$823.24,500.0,$-27437.68,$-54.88,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2024-02-23,TQQQ," ",$-27.61," ",$-1.79,500.0,$-27467.08,$-54.93,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2024-03-01,TQQQ,$-31427.00,$-64.49," ",$1736.60,1000.0,$-57221.97,$-57.22,"=stockhistory(B6,A6,,0,0,1)",500.0," ",$-62.85
2024-03-05,TQQQ,$-29655.00,$-76.77," ",$901.61,1500.0,$-86052.13,$-57.37,"=stockhistory(B7,A7,,0,0,1)",500.0," ",$-59.31
2024-03-06,TQQQ," ",$-28.86," ",$981.44,1500.0,$-85099.55,$-56.73,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2024-03-18,TQQQ,$27999.77,$-342.53," ",$1943.21,1000.0,$-55499.10,$-55.50,"=stockhistory(B9,A9,,0,0,1)"," ",500.0,$-56.00
2024-03-25,TQQQ,$28829.52,$-130.31," ",$666.61,500.0,$-26133.28,$-52.27,"=stockhistory(B10,A10,,0,0,1)",500.0,1000.0,$-57.66
2024-03-27,TQQQ," ",$-17.53,$215.14," ",500.0,$-25935.67,$-51.87,"=stockhistory(B11,A11,,0,0,1)"," "," "," "
2024-03-28,TQQQ,$-6184.00,$-8.70," ",$143.32,600.0,$-31985.05,$-53.31,"=stockhistory(B12,A12,,0,0,1)",100.0," ",$-61.84
2024-04-01,TQQQ,$30499.75,$-42.91," "," ",100.0,$-1528.21,$-15.28,"=stockhistory(B13,A13,,0,0,1)"," ",500.0,$-61.00
2024-04-02,TQQQ,$-24128.00,$-0.51," ",$541.29,500.0,$-25115.43,$-50.23,"=stockhistory(B14,A14,,0,0,1)",400.0," ",$-60.32
2024-04-03,TQQQ," ",$-8.42," ",$100.29,500.0,$-25023.57,$-50.05,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2024-04-08,TQQQ," ",$-41.97," ",$397.29,500.0,$-24668.24,$-49.34,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2024-04-11,TQQQ," ",$-24.82," ",$296.49,500.0,$-24396.57,$-48.79,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2024-04-16,TQQQ," ",$-40.92," ",$246.49,500.0,$-24191.00,$-48.38,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2024-04-24,TQQQ," ",$-64.91," ",$424.47,500.0,$-23831.44,$-47.66,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2024-05-01,TQQQ," ",$-55.95," "," ",500.0,$-23887.40,$-47.77,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2024-05-17,TQQQ," ",$-128.20," ",$193.22,500.0,$-23822.37,$-47.64,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2024-06-01,TQQQ," ",$-119.86," "," ",500.0,$-23942.23,$-47.88,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2024-06-03,TQQQ,$-758.70,$-16.06," ",$629.60,500.0,$-24087.39,$-48.17,"=stockhistory(B23,A23,,0,0,1)",500.0,500.0," "
2024-06-07,TQQQ,$-20106.00,$-32.32," ",$462.95,800.0,$-43762.76,$-54.70,"=stockhistory(B24,A24,,0,0,1)",300.0," ",$-67.02
2024-06-10,TQQQ,$31499.12,$-44.04," "," ",300.0,$-12307.67,$-41.03,"=stockhistory(B25,A25,,0,0,1)"," ",500.0,$-63.00
2024-06-17,TQQQ,$-1883.47,$-28.90," ",$485.97,300.0,$-13734.07,$-45.78,"=stockhistory(B26,A26,,0,0,1)",300.0,300.0," "
2024-06-24,TQQQ,$7461.38,$-32.25," ",$206.65,200.0,$-6098.29,$-30.49,"=stockhistory(B27,A27,,0,0,1)",200.0,300.0,$-74.61
2024-07-01,TQQQ," ",$-14.32," ",$390.63,200.0,$-5721.98,$-28.61,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
2024-07-03,TQQQ," ",$-3.84,$56.56," ",200.0,$-5669.25,$-28.35,"=stockhistory(B29,A29,,0,0,1)"," "," "," "
2024-07-10,TQQQ," ",$-13.31," ",$297.24,200.0,$-5385.32,$-26.93,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2024-07-25,TQQQ,$-19394.99,$-27.09," ",$417.97,500.0,$-24389.44,$-48.78,"=stockhistory(B31,A31,,0,0,1)",300.0," ",$-64.65
2024-07-29,TQQQ,$19499.45,$-32.72," "," ",200.0,$-4922.71,$-24.61,"=stockhistory(B32,A32,,0,0,1)"," ",300.0,$-65.00
2024-08-01,TQQQ," ",$-4.95," "," ",200.0,$-4927.67,$-24.64,"=stockhistory(B33,A33,,0,0,1)"," "," "," "
2024-08-06,TQQQ," ",$-8.26," ",$158.60,200.0,$-4777.33,$-23.89,"=stockhistory(B34,A34,,0,0,1)"," "," "," "
2024-08-08,TQQQ," ",$-3.20," ",$354.60,200.0,$-4425.93,$-22.13,"=stockhistory(B35,A35,,0,0,1)"," "," "," "
2024-08-12,TQQQ," ",$-5.94," ",$177.27,200.0,$-4254.60,$-21.27,"=stockhistory(B36,A36,,0,0,1)"," "," "," "
2024-08-20,TQQQ," ",$-11.42," ",$-798.76,200.0,$-5064.78,$-25.32,"=stockhistory(B37,A37,,0,0,1)"," "," "," "
2024-08-28,TQQQ," ",$-13.59," ",$149.25,200.0,$-4929.12,$-24.65,"=stockhistory(B38,A38,,0,0,1)"," "," "," "
2024-09-01,TQQQ," ",$-6.61," "," ",200.0,$-4935.73,$-24.68,"=stockhistory(B39,A39,,0,0,1)"," "," "," "
2024-09-13,TQQQ," ",$-19.87," ",$79.25,200.0,$-4876.35,$-24.38,"=stockhistory(B40,A40,,0,0,1)"," "," "," "
2024-09-18,TQQQ," ",$-8.18," ",$147.25,200.0,$-4737.28,$-23.69,"=stockhistory(B41,A41,,0,0,1)"," "," "," "
2024-10-01,TQQQ," ",$-20.66," "," ",200.0,$-4757.93,$-23.79,"=stockhistory(B42,A42,,0,0,1)"," "," "," "
2024-10-02,TQQQ," ",$-1.60,$46.04," ",200.0,$-4713.49,$-23.57,"=stockhistory(B43,A43,,0,0,1)"," "," "," "
2024-10-03,TQQQ," ",$-1.58," ",$221.25,200.0,$-4493.82,$-22.47,"=stockhistory(B44,A44,,0,0,1)"," "," "," "
2024-10-14,TQQQ,$12999.63,$-16.58," "," "," ",$8489.23,,"=stockhistory(B45,A45,,0,0,1)"," ",200.0,$-65.00
2024-11-01,TQQQ," ",$51.25," "," "," ",$8540.48,,"=stockhistory(B46,A46,,0,0,1)"," "," "," "
2024-12-01,TQQQ," ",$85.94," "," "," ",$8626.42,,"=stockhistory(B47,A47,,0,0,1)"," "," "," "
2025-01-01,TQQQ," ",$89.70," "," "," ",$8716.12,,"=stockhistory(B48,A48,,0,0,1)"," "," "," "
2025-02-01,TQQQ," ",$90.63," "," "," ",$8806.75,,"=stockhistory(B49,A49,,0,0,1)"," "," "," "
