Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-03-28,margin,$-3238.69," "," "," ",45.0,$-3238.69,$-71.97,"=stockhistory(B2,A2,,0,0,1)",45.0," ",$-71.97
2023-03-29,margin,$-647.18,$-1.09," "," ",50.0,$-3886.96,$-77.74,"=stockhistory(B3,A3,,0,0,1)",5.0," ",$-129.44
2023-03-31,margin," ",$-2.61," "," ",50.0,$-3889.56,$-77.79,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2023-04-01,margin," ",$-1.30," "," ",50.0,$-3890.87,$-77.82,"=stockhistory(B5,A5,,0,0,1)"," "," "," "
2023-04-03,margin,$-5122.07,$-2.61," "," ",352.0,$-9015.55,$-25.61,"=stockhistory(B6,A6,,0,0,1)",322.0,20.0,$-16.96
2023-04-04,margin,$2848.57,$-3.02," "," ",356.0,$-6170.00,$-17.33,"=stockhistory(B7,A7,,0,0,1)",34.0,30.0,$712.14
2023-04-05,margin,$-87.75,$-2.07," "," ",400.0,$-6259.82,$-15.65,"=stockhistory(B8,A8,,0,0,1)",44.0," ",$-1.99
2023-04-06,margin,$-2449.11,$-2.10," "," ",551.0,$-8711.03,$-15.81,"=stockhistory(B9,A9,,0,0,1)",151.0," ",$-16.22
2023-04-10,margin,$577.48,$-11.69," "," ",497.0,$-8145.24,$-16.39,"=stockhistory(B10,A10,,0,0,1)"," ",54.0,$-10.69
2023-04-11,margin,$961.94,$-2.73," "," ",464.0,$-7186.03,$-15.49,"=stockhistory(B11,A11,,0,0,1)"," ",33.0,$-29.15
2023-04-18,margin,$1059.99,$-16.87," "," ",444.0,$-6142.91,$-13.84,"=stockhistory(B12,A12,,0,0,1)"," ",20.0,$-53.00
2023-04-19,margin,$3616.08,$-2.06," "," ",179.0,$-2528.89,$-14.13,"=stockhistory(B13,A13,,0,0,1)",100.0,365.0,$-13.65
2023-04-28,margin," ",$-7.63,$8.00," ",179.0,$-2528.53,$-14.13,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-05-01,margin," ",$-2.54," "," ",179.0,$-2531.07,$-14.14,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-05-02,margin," ",$-0.85," "," ",179.0,$-2531.92,$-14.14,"=stockhistory(B16,A16,,0,0,1)"," "," "," "
2023-05-10,margin," ",$-6.79,$1.80," ",179.0,$-2536.92,$-14.17,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2023-05-22,margin," ",$-10.21," "," ",179.0,$-2547.13,$-14.23,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2023-05-23,margin,$83.99,$-0.85," "," ",176.0,$-2463.99,$-14.00,"=stockhistory(B19,A19,,0,0,1)"," ",3.0,$-28.00
2023-05-25,margin," ",$-1.65,$2.70," ",176.0,$-2462.94,$-13.99,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2023-05-30,margin," ",$-4.13,$19.01," ",176.0,$-2448.06,$-13.91,"=stockhistory(B21,A21,,0,0,1)"," "," "," "
2023-05-31,margin," ",$-0.82,$8.00," ",176.0,$-2440.89,$-13.87,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2023-06-01,margin," ",$-0.82,$1.35," ",176.0,$-2440.35,$-13.87,"=stockhistory(B23,A23,,0,0,1)"," "," "," "
2023-06-02,margin," ",$-0.82," "," ",176.0,$-2441.17,$-13.87,"=stockhistory(B24,A24,,0,0,1)"," "," "," "
2023-06-09,margin," ",$-5.73,$50.84," ",176.0,$-2396.06,$-13.61,"=stockhistory(B25,A25,,0,0,1)"," "," "," "
2023-06-20,margin," ",$-8.84," "," ",176.0,$-2404.90,$-13.66,"=stockhistory(B26,A26,,0,0,1)"," "," "," "
2023-06-21,margin," ",$-0.81," "," ",176.0,$-2405.71,$-13.67,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2023-06-30,margin," ",$-7.26,$8.00," ",176.0,$-2404.97,$-13.66,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
2023-07-01,margin," ",$-0.81," "," ",176.0,$-2405.78,$-13.67,"=stockhistory(B29,A29,,0,0,1)"," "," "," "
2023-07-03,margin," ",$-1.61," "," ",176.0,$-2407.39,$-13.68,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2023-07-05,margin," ",$-1.61," "," ",176.0,$-2409.01,$-13.69,"=stockhistory(B31,A31,,0,0,1)"," "," "," "
