Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-03-27,rollover,$-972.50," "," "," ",100.0,$-972.50,$-9.73,"=stockhistory(B2,A2,,0,0,1)",100.0," ",$-9.73
2023-03-28,rollover,$-1351.10,$-0.14," "," ",120.0,$-2323.74,$-19.36,"=stockhistory(B3,A3,,0,0,1)",20.0," ",$-67.55
2023-03-29,rollover,$-7150.00,$-0.32," "," ",29228.7,$-9474.06,$-0.32,"=stockhistory(B4,A4,,0,0,1)",29108.7," ",$-0.25
2023-03-30,rollover,$-19868.00,$-1.32," "," ",29503.7,$-29343.37,$-0.99,"=stockhistory(B5,A5,,0,0,1)",275.0," ",$-72.25
2023-03-31,rollover,$-105582.82,$-4.08," "," ",34638.7,$-134930.27,$-3.90,"=stockhistory(B6,A6,,0,0,1)",5135.0," ",$-20.56
2023-04-01,rollover," ",$-18.74," "," ",34638.7,$-134949.01,$-3.90,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-04-03,rollover,$-46162.40,$-37.49," "," ",36184.7,$-181148.90,$-5.01,"=stockhistory(B8,A8,,0,0,1)",1796.0,250.0,$-29.86
2023-04-04,rollover,$20207.95,$-25.16," "," ",36254.7,$-160966.10,$-4.44,"=stockhistory(B9,A9,,0,0,1)",1475.0,1405.0,$288.69
2023-04-05,rollover,$59253.53,$-22.36," "," ",10407.0,$-101734.93,$-9.78,"=stockhistory(B10,A10,,0,0,1)",3211.0,29058.7,$-2.29
2023-04-06,rollover,$-210490.63,$-14.13," "," ",16626.0,$-312239.69,$-18.78,"=stockhistory(B11,A11,,0,0,1)",6780.0,561.0,$-33.85
2023-04-10,rollover,$-99595.31,$-173.47," "," ",22920.0,$-412008.47,$-17.98,"=stockhistory(B12,A12,,0,0,1)",6607.0,313.0,$-15.82
2023-04-11,rollover,$-354125.63,$-57.22," "," ",37989.0,$-766191.32,$-20.17,"=stockhistory(B13,A13,,0,0,1)",15403.0,334.0,$-23.50
2023-04-12,rollover," ",$-106.42," "," ",37989.0,$-766297.74,$-20.17,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-04-13,rollover,$-4200.00,$-106.43," "," ",38239.0,$-770604.17,$-20.15,"=stockhistory(B15,A15,,0,0,1)",250.0," ",$-16.80
2023-04-14,rollover,$-19910.44,$-107.03,$22.50," ",38964.0,$-790599.14,$-20.29,"=stockhistory(B16,A16,,0,0,1)",725.0," ",$-27.46
2023-04-17,rollover,$-36623.20,$-329.42,$212.50," ",40679.0,$-827339.25,$-20.34,"=stockhistory(B17,A17,,0,0,1)",1996.0,281.0,$-21.35
2023-04-18,rollover,$-51884.07,$-114.91," "," ",43251.0,$-879338.23,$-20.33,"=stockhistory(B18,A18,,0,0,1)",3025.0,453.0,$-20.17
2023-04-19,rollover,$82596.04,$-122.13," "," ",41633.0,$-796864.32,$-19.14,"=stockhistory(B19,A19,,0,0,1)",1930.0,3548.0,$-51.05
2023-04-20,rollover,$-41434.59,$-110.68," "," ",48513.0,$-838409.59,$-17.28,"=stockhistory(B20,A20,,0,0,1)",7060.0,180.0,$-6.02
2023-04-21,rollover,$-48357.73,$-116.45," "," ",48745.0,$-886883.76,$-18.19,"=stockhistory(B21,A21,,0,0,1)",2415.0,2183.0,$-208.44
2023-04-24,rollover,$-20558.23,$-369.53," "," ",49755.0,$-907811.53,$-18.25,"=stockhistory(B22,A22,,0,0,1)",2595.0,1585.0,$-20.35
2023-04-25,rollover,$-46961.04,$-126.08," "," ",54621.0,$-954898.65,$-17.48,"=stockhistory(B23,A23,,0,0,1)",5258.0,392.0,$-9.65
2023-04-26,rollover,$88034.75,$-132.62,$4.85," ",51527.0,$-866991.68,$-16.83,"=stockhistory(B24,A24,,0,0,1)",105.0,3199.0,$-28.45
2023-04-27,rollover,$112743.63,$-120.42," "," ",41405.0,$-754368.46,$-18.22,"=stockhistory(B25,A25,,0,0,1)",938.0,11060.0,$-11.14
