Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-03-29,roth,$-1002.50," "," "," ",100.0,$-1002.50,$-10.03,"=stockhistory(B2,A2,,0,0,1)",100.0," ",$-10.03
2023-03-30,roth,$-480.00,$-0.14," "," ",150.0,$-1482.64,$-9.88,"=stockhistory(B3,A3,,0,0,1)",50.0," ",$-9.60
2023-04-01,roth," ",$-0.41," "," ",150.0,$-1483.05,$-9.89,"=stockhistory(B4,A4,,0,0,1)"," "," "," "
2023-04-03,roth,$185.74,$-0.41," "," ",15.0,$-1297.72,$-86.51,"=stockhistory(B5,A5,,0,0,1)",15.0,150.0,$-1.38
2023-04-11,roth," ",$-1.44," "," ",15.0,$-1299.16,$-86.61,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-04-28,roth," ",$-3.07,$35.00," ",15.0,$-1267.23,$-84.48,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-05-01,roth," ",$-0.53," "," ",15.0,$-1267.76,$-84.52,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-05-15,roth," ",$-2.47,$2.55," ",15.0,$-1267.68,$-84.51,"=stockhistory(B9,A9,,0,0,1)"," "," "," "
2023-06-01,roth," ",$-2.99," "," ",15.0,$-1270.67,$-84.71,"=stockhistory(B10,A10,,0,0,1)"," "," "," "
2023-06-09,roth,$-1515.50,$-1.41," "," ",40.0,$-2787.58,$-69.69,"=stockhistory(B11,A11,,0,0,1)",25.0," ",$-60.62
2023-06-12,roth," ",$-1.16,$3.75," ",40.0,$-2784.99,$-69.62,"=stockhistory(B12,A12,,0,0,1)"," "," "," "
2023-06-15,roth," ",$-1.16,$2.55," ",40.0,$-2783.60,$-69.59,"=stockhistory(B13,A13,,0,0,1)"," "," "," "
2023-07-01,roth," ",$-6.19," "," ",40.0,$-2789.79,$-69.74,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-07-14,roth," ",$-5.04,$8.94," ",40.0,$-2785.89,$-69.65,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-07-24,roth,$2831.87,$-3.87," "," "," ",$42.12,,"=stockhistory(B16,A16,,0,0,1)"," ",40.0,$-70.80
2023-08-01,roth," ",$0.05," "," "," ",$42.16,,"=stockhistory(B17,A17,,0,0,1)"," "," "," "
2023-08-09,roth," ",$0.05," "," "," ",$42.21,,"=stockhistory(B18,A18,,0,0,1)"," "," "," "
2023-08-11,roth,$-8875.00,$0.01," "," ",25.0,$-8832.78,$-353.31,"=stockhistory(B19,A19,,0,0,1)",25.0," ",$-355.00
2023-08-17,roth,$-5295.00,$-7.36," "," ",40.0,$-14135.14,$-353.38,"=stockhistory(B20,A20,,0,0,1)",15.0," ",$-353.00
2023-08-18,roth,$-4061.55,$-1.96," "," ",4040.0,$-18198.65,$-4.50,"=stockhistory(B21,A21,,0,0,1)",4000.0," ",$-1.02
2023-09-01,roth," ",$-35.39," "," ",4040.0,$-18234.04,$-4.51,"=stockhistory(B22,A22,,0,0,1)"," "," "," "
2023-09-19,roth,$-3702.50,$-45.59," "," ",4050.0,$-21982.12,$-5.43,"=stockhistory(B23,A23,,0,0,1)",10.0," ",$-370.25
2023-09-21,roth,$-3659.94,$-6.11," "," ",4060.0,$-25648.17,$-6.32,"=stockhistory(B24,A24,,0,0,1)",10.0," ",$-365.99
2023-10-01,roth," ",$-35.62," "," ",4060.0,$-25683.79,$-6.33,"=stockhistory(B25,A25,,0,0,1)"," "," "," "
2023-10-02,roth,$-3500.00,$-3.57," "," ",4070.0,$-29187.36,$-7.17,"=stockhistory(B26,A26,,0,0,1)",10.0," ",$-350.00
2023-10-16,roth," ",$-56.75," "," ",4070.0,$-29244.11,$-7.19,"=stockhistory(B27,A27,,0,0,1)"," "," "," "
2023-11-01,roth," ",$-64.99," "," ",4070.0,$-29309.10,$-7.20,"=stockhistory(B28,A28,,0,0,1)"," "," "," "
2023-11-28,roth,$4083.07,$-109.91," ",$9.46,70.0,$-25326.48,$-361.81,"=stockhistory(B29,A29,,0,0,1)"," ",4000.0,$-1.02
2023-12-01,roth," ",$-10.55," "," ",70.0,$-25337.03,$-361.96,"=stockhistory(B30,A30,,0,0,1)"," "," "," "
2023-12-12,roth,$-2250.00,$-38.71," "," ",220.0,$-27625.74,$-125.57,"=stockhistory(B31,A31,,0,0,1)",150.0," ",$-15.00
2023-12-18,roth," ",$-23.02," "," ",220.0,$-27648.76,$-125.68,"=stockhistory(B32,A32,,0,0,1)"," "," "," "
